;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Oosterpoort;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;-;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Seringenstraat 21, Den Bosch;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Kelder;Chubb;EHF 6;Schuim;2001;;;a;;;
2;Kelder;Noha;BSH 20m;Water;2003;2013;32 l/min;a;;;
3;Keuken begane grond;Paraat;CO2  2kg;CO2;2000;;;a;;;
4;Hal begane grond;Ansul;BSH 20m;Water;1972;2013;32 l/min;a;;;
5;Gang 1e verdieping;NL safe;FM6-B;Schuim;2012;;;a;;;
6;Gang 1e verdieping;Noha;BSH 20m;Water;2003;2013;30 l/min;a;;;
7;Gang 2e verdieping;Chubb;EHF 6;Schuim;2001;;;a;;;
8;Gang 2e verdieping;Noha;BSH 20m;Water;2003;2013;28 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
