;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Oosterpoort;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Traverse 37-39 & 111-113;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Grave;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen;;
Traverse 111 - 113;;;;;;;;;;;
1;Hal 111 begane grond;Smeba 1/2";BSH 20m;Water;;2014;22 l/min;a;Mini haspel;;
2;Trappenhal 111;Smeba 1/2";BSH 20m;Water;;2014;20 l/min;a;Mini haspel;;
3;Keuken 113;Moyne Roberts;MF-60;Schuim;2015;;;a;;;
4;Hal 113 begane grond;Smeba 1/2";BSH 20m;Water;;2014;22 l/min;a;Mini haspel;;
5;Trappenhal 113;Smeba 1/2";BSH 20m;Water;;2014;20 l/min;a;Mini haspel;;
6;Zolder;NL safe;TM6-B;Schuim;2011;;;a;;;
;;;;;;;;;;;
Traverse 37 - 39;;;;;;;;;;;
1;Keuken;BCO;EFS6;AFFF;2015;;;a;;;
2;Overloop 37;Smeba;FM 60;Schuim;2005;;;a;;;
3;Zolder 37;Smeba;FM 60;Schuim;2005;;;a;;;
4;Overloop 39;Smeba;FM 60;Schuim;2005;;;a;;;
5;Overloop 39;Smeba;FM 60;Schuim;2005;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
