;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Oosterpoort;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;-;;Datum:;Week 47 2014;;;;;Blusdekens;;
Adres:;Krabbenhoek 45, Heesch;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Hal;Saval;BSH 20m;Water;1994;2011;48 l/min;a;;;
2;Keuken;Paraat;CO2  2kg;CO2;2000;;;a;;;
3;Gang 1e verdieping;Saval;BSH 20m;Water;1994;2011;46 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;1x Blusdeken;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
