;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Patrimonium;;Naam monteur:;J Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Taylor Mates / Zadvoort Legal;;Datum:;11-1-2015;;;;;Blusdekens;;
Adres:;Bramd van den Berghstraat 22, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Voor bij Receptie;Uro-Flame;BSH30m;Water;2013;;36 L p/m;a;;;
2;Kelder Tech. Ruimte;AGO;S6LJ;Schuim;2004;;;a;;;
3;1e verd. Trap rechts;Uro-Flame;BSH30m;Water;2013;;32 L p/m;a;;;
4;1e verd. Zandvoort Legal;Uro-Flame;BSH30m;Water;2013;;32 L p/m;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
