;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Bosweg;;Datum:;Week 20 2015;;;;;Blusdekens;;
Adres:;Bosweg 250, Nijmegen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang A;Ajax;BSH 30;Water;2011;;36 l/min;a;;;
2;Gang C 1e verd.;Ajax;BSH 30;Water;2011;;34 l/min;a;;;
3;Keuken C 1e verd.;Berki;AF 6;Schuim;2012;;;a;;;
4;Berging C 1e verd.;Berki;AF 6;Schuim;2012;;;a;;;
5;Gang C bij 20;Ajax;BSH 30;Water;2012;;34 l/min;a;;;
6;Gang B berging 1e verd.;Berki;KA-5;CO2;2011;;;a;;;
7;Gang B bij 22 ;Ajax;BSH 30;Water;2011;;34 l/min;a;;;
8;Gang B bij berging;Berki;AF 6;Schuim;2012;;;a;;;
9;Technische ruimte 2e verd.;Berki;AF 6;Schuim;2012;;;a;;;
10;Technische ruimte 2e verd.;Berki;AF 6;Schuim;2012;;;a;;;
11;Gang D 2e verd.;Ajax;BSH 30;Water;2011;;30 l/min;a;;;
12;Medicijnen berging 2e verd.;Berki;AF 6;Schuim;2012;;;a;;;
13;Keuken 2e verd.;Berki;AF 6;Schuim;2011;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
