;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Sint Jozefklooster;;Datum:;Week 23 2015;;;;;Blusdekens;;
Adres:;Kerkstraat 65, Nijmegen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang bij lift -1;Saval;BSH 20;Water;1989;2012;28 l/min;a;;;
1a;TD werkhok -1;BCO;EFS 6;Schuim;2015;;;a;;;
2;Bij TD -1;Saval;PG 6;Poeder;2001;;;a;;;
3;Bij bibliotheek -1;Saval;BSH 20;Water;1989;2012;28 l/min;a;;;
4;Bij trap -1;Saval;BSH 20;Water;1987;2012;30 l/min;a;;;
5;Bij toilet -1;BCO;EFS 6;Schuim;2015;;;a;;;
6;Bij toilet -1;Saval;BSH 20;Water;1986;2010;30 l/min;a;;;
7;Bij kapsalon -1;Saval;BSH 20;Water;2010;2010;30 l/min;a;;;
8;Bij wasserette -1;Saval;BSH 20;Water;1987;2012;28 l/min;a;;;
9;Bij wasserette -1;BCO;EFS 6;Schuim;2015;;;a;;;
10;Bij eetzaal BG;Saval;BSH 20;Water;1987;2012;30 l/min;a;;;
11;Bij keuken BG;Saval;BSH 20;Water;1987;2012;30 l/min;a;;;
12;Bij keuken BG;Saval;AK 5;Water;1998;;;a;;;
13;Bij receptie BG;Saval;BSH 20;Water;1987;2012;28 l/min;a;;;
14;Gang bij huiskamers BG;Saval;BSH 20;Water;1989;2012;28 l/min;a;;;
15;Gang bij mortuarium BG;Saval;BSH 20;aw;2010;;;a;;;
16;Gang bij lift 1e verd.;Saval;BSH 20;Water;1989;2012;26 l/min;a;;;
17;Gang naar achterbouw;Saval;BSH 20;Water;1987;2012;28 l/min;a;;;
18;Bij 111 1e verd.;Saval;BSH 20;Water;1989;2012;28 l/min;a;;;
19;Dameskleedkamer;Saval;BSH 20;Water;2011;;28 l/min;a;;;
20;Bij 116;Saval;BSH 20;Water;1989;2012;28 l/min;a;;;
21;Bij 119;Saval;BSH 20;Water;1989;2012;28 l/min;a;;;
22;Bij lift 2e verd.;Saval;BSH 20;Water;1989;2012;26 l/min;a;;;
23;Bij 213;Saval;BSH 20;Water;1989;2012;26 l/min;a;;;
24;Bibliotheek 2e verd.;Simplus;UPA 6;Schuim;2011;;;a;;;
25;Bij 216;Saval;BSH 20;Water;1989;2012;26 l/min;a;;;
26;Bij 221;Saval;BSH 20;Water;1989;2012;26 l/min;a;;;
27;Bij lift 3e verd.;Saval;BSH 20;Water;1989;2012;24 l/min;a;;;
28;Bij 313;Saval;BSH 20;Water;1989;2012;24 l/min;a;;;
29;Bij 316;Saval;BSH 20;Water;1989;2012;24 l/min;a;;;
30;Bij 319;Saval;BSH 20;Water;1989;2012;24 l/min;a;;;
31;Bij 414;Saval;BSH 20;Water;;2015;24 l/min;a;;;
32;Bij ketelhok 4e verd.;Saval;BSH 20;Water;2009;2015;24 l/min;a;;;
33;Bij 412;Saval;BSH 20;Water;2009;2015;24 l/min;a;;;
Achterbouw;;;;;;;;;;;
34;Bij 104;Saval;BSH 20;Water;1987;2012;28 l/min;a;;;
35;Bij 204;Saval;BSH 20;Water;1987;2012;27 l/min;a;;;
36;Bij 304;Saval;BSH 20;Water;1987;2012;26 l/min;a;;;
37;Bij 404;Saval;BSH 20;Water;1987;2012;25 l/min;a;;;
38;Bij 504;Saval;BSH 20;Water;1987;2012;24 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;4e verdieping lage druk! In de ochtend geen 24 l/min en in de middag wordt de 24 l/min maar net gehaald.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
