;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Villa Villandry;;Datum:;Week 20 2015;;;;;Blusdekens;;
Adres:;Bosweg 160, Nijmegen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Bij deur keuken;Berki;BSH 30;Water;2002;2012;24 l/min;a;;;
2;Keuken;Berki;KA-5;CO2;2006;;;a;;;
3;Links keuken;Ajax;BSH 20;Water;2010;2015;26 l/min;a;;;
4;Links keuken;Berki;PG 6;Poeder;2011;;;a;;;
5;Kantine;Berki;BSH 30;Water;2002;2012;26 l/min;a;;;
6;Kantine;Berki;KA-5;CO2;2007;;;a;;;
7;Bij printer;BCO;EFS-6;Schuim;2015;;;a;;;
8;Zolder;Ajax;BSH 25;Water;2006;2012;24 l/min;a;;;
9;Zolder;Berki;BSH 25;Water;2002;2012;24 l/min;a;;;
10-1;Kelder;Berki;KA-5;CO2;2006;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
