;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Algemene begraafplaats;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Lindenstraat 22, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Werkplaats;Paraat;BSH 20m;Water;1994;2012;44 l/min;a;;;
2;Werkplaats;Feucom;PG6LD;Poeder;2013;;;;;;
3;Keuken;BCO;EFS6;Schuim;2014;;;;;;
4;Opslag auto's;BCO;EFS6;Schuim;2014;;;;;;
5;Opslag auto's;Ansul;9006A;Poeder;1996;2006;;;;;
6;Aula keuken;BCO;EFS6;Schuim;2014;;;;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Controle blussers vindt om het jaar plaats. In opdracht van gemeente.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
