;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Brandweer Oss;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Wethouder van Eschstraat 206, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Opslag gevaarlijke stoffen;Uro-Flame;EPS6;Poeder;2014;;;;;;
2;Garage;Ansul;BSH 25m;Water;1999;2010;48 l/min;a;;;
3;Garage;BCO;EFS6;Schuim;2014;;;;;;
4;Stalling auto's;Ajax;BSH 25m;Water;;2012;46 l/min;a;;;
5;Buiten bij garage;Kling;P92J;Poeder;2007;;;;;;
6;Bij wc;Ajax;BSH 35m;Water;;2010;48 l/min;a;;;
7;Bij keuken;Ansul;U6ECIO95;Schuim;2008;;;;;;
8;Gang 1e verdieping;Ansul;U6ECIO95;Schuim;2007;;;;;;
9;Gang 1e verdieping;Ajax;BSH 25m;Water;;2010;48 l/min;a;;;
10;Garage;Feucom;PG6LD;Poeder;2013;;;;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Controle blussers vindt om het jaar plaats. In opdracht van gemeente.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
