;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Dorpshuis de Bongerd;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Hoogestraat 5a, Macharen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Gang;Ansul;BSH 25;Water;2004;2014;40 l/min;a;;;
2;Keuken bij hal;Ansul;6 EC1095-C;Schuim;2008;;;;;;
3;Gymzaal opslag;Ajax;BSH 20;Water;1998;2011;40 l/min;a;;;
4;Keuken;BCO;EFS 6;Schuim;2014;;;;;;
5;Kantine;Ansul;6 EC1095-C;Schuim;2008;;;;;;
6;Buitenschoolseopvang;Ansul;BSH 20;Water;2007;2012;28 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Controle blussers vindt om het jaar plaats. In opdracht van gemeente.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
