;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Gymzaal Krakenburg;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Krakenburg 6, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Ketelhok;BCO;EFS 6;Schuim;2014;;;;;;
2;Gang;Saval;BSH 30;Water;;2011;36 l;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Controle blussers vindt om het jaar plaats. In opdracht van gemeente.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
