;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Horizonschool Komeet;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Troelstrastraat 13, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Gang bij wc;Ajax;BSH 20;Water;2005;2015;36 l/min;a;;;
2;Gang 1e verdieping;Ajax;BSH 20;Water;2005;2015;34 l/min;a;;;
3;Gang bij 0.36;Ajax;BSH 20;Water;2005;2015;40 l/min;a;;;
4;Keuken;Uro-Flame;EFS 6;Schuim;2013;;;;;;
5;Ketelhok;Uro-Flame;EFS 6;Schuim;2011;;;;;;
6;Gang bij 0.22;Ajax;BSH 20;Water;2005;2015;40 l/min;a;;;
7;Gang bij 0.07;Ajax;BSH 20;Water;2005;2015;40 l/min;a;;;
8;Gang 1e verdieping;Ajax;BSH 20;Water;2005;2015;36 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Controle blussers vindt om het jaar plaats. In opdracht van gemeente.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
