;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Horizonschool Zuiderlicht;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;Knolgroenveld, Berghem;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Gang;Ajax;BSH 20;Water;2005;2015;36 l/min;a;;;
2;Gang;Ajax;GP6;Poeder;2006;;;;;;
3;Gang bij B1.06;Ajax;BSH 20;Water;2006;2015;36 l/min;a;;;
4;Gang bij B1.06;Ajax;GP6;Poeder;2006;;;;;;
5;Gang bij C1.11;Ajax;BSH 20;Water;2005;2015;32 l/min;a;;;
6;Gang bij C1.11;Ajax;GP6;Poeder;2006;;;;;;
7;Gang bij D1.20;Ajax;BSH 20;Water;2006;2011;32 l/min;a;;;
8;Gang bij D1.20;Ajax;GP6;Poeder;2006;;;;;;
9;Gang kleedkamers;Ajax;BSH 20;Water;2006;2011;28 l/min;a;;;
10;Gang kleedkamers;Ajax;GP6;Poeder;2006;;;;;;
11;Sportzaal;Ajax;BSH 20;Water;2006;2011;32 l/min;a;;;
12;Sportzaal;Uro-flame;EFS6;Schuim;2011;;;;;;
13;Speelruimte F2.02;Ajax;BSH 20;Water;2006;2011;34 l/min;a;;;
14;Speelruimte F2.02;Ajax;GP6;Poeder;2006;;;;;;
15;Gang bij C2.05;Ajax;BSH 20;Water;2006;2011;32 l/min;a;;;
16;Gang bij C2.05;Ajax;GP6;Poeder;2006;;;;;;
17;Gang bij A2.06;Ajax;BSH 20;Water;2006;2011;32 l/min;a;;;
18;Gang bij A2.06;Ajax;GP6;Poeder;2006;;;;;;
19;Gang bij 2.04;Ajax;BSH 20;Water;2005;2015;28 l/min;a;;;
20;Gang bij 2.04;Ajax;GP6;Poeder;2006;;;;;;
Gebouw ernaast (schoolwoningen);;;;;;;;;;;
21;Gang;Saval;BSH 20;Water;2008;2013;44 l/min;a;;;
22;Gang bij leescafe;Saval;BSH 20;Water;2008;2013;42 l/min;a;;;
23 1e;Gang bij WC;Saval;BSH 20;Water;2008;2013;36 l/min;a;;;
24 1e;CV ruimte 1.29;Saval;PG9;Poeder;2008;;;;;;
25 1e;CV ruimte 1.30;Saval;PG9;Poeder;2008;;;;;;
26 1e;Gang bij 1.03;Saval;BSH 20;Water;2008;2013;;a;;;
27 2e;Spreekkamer;Saval;PG9;Poeder;2008;;;;;;
28 2e;Spreekkamer;Saval;BSH 20;Water;2008;2013;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Controle blussers vindt om het jaar plaats. In opdracht van gemeente.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
