;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;J Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Sporthal Lith;;Datum:;December, 2015;;;;;Blusdekens;;
Adres:;Zeuvenwilgenstraat 1, Lith;;Complexnr: ;C38034;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Gang;BCO;EFS6;Schuim;2014;;;;;;
2;Gang bij werkkast;BCO;EFS6;Schuim;2014;;;;;;
3;Kantine;Ansul;BSH 25m;Water;1976;2012;36 l/min;a;;;
4;Gymzaal rechts;Ansul;BSH 25m;Water;1976;2012;32 l/min;a;;;
5;Gymzaal links;Ansul;BSH 25m;Water;1976;2014;32 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Controle blussers vindt om het jaar plaats. In opdracht van Gemeente.        
;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
