;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Gemeente Oss;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Sporthal Mondriaan;;Datum:;November, 2015;;;;;Blusdekens;;
Adres:;De Ruivert 3, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;Gymzaal;Ansul;BSH 30;Water;1992;2012;36 l;a;;;
2;Gymzaal;Ansul;BSH 30;Water;1992;2012;35 l;a;;;
Mondriaanbar;;;;;;;;;;;
3;Rokersruimte;Ansul;BSH 25;Water;1992;2011;36 l;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
