;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;M Gutte;;;;;Slangenhaspels-water;;
Locatie:;De Koppellinck;;Datum:;December, 2015;;;;;Blusdekens;;
Adres:;Kloosterstraat 4, Geffen;;Complexnr: ;C38034;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
6;Ingang;Ansul;BSH 20m;Water;2010;2015;38 L p/m;a;;;
3;Bij klas 38;Ansul;BSH 20m;Water;2010;2015;38 L p/m;a;;;
1;Achter Trap;Ansul;BSH 20m;Water;2010;2015;40 L p/m;a;;;
2;Bij Klas 28;Ansul;BSH 20m;Water;2010;2015;38 L p/m;a;;;
4;Achter bar bij ingang;Ansul;P506;Poeder;2010;;;a;;;
5;Achter Podium;Ansul;P506;Poeder;2010;;;a;;;
7;Bij kla s8;Ansul;BSH 20m;Water;2010;2015;42 L p/m;a;;;
9;1e bij trap;Ansul;BSH 20m;Water;2010;2015;36 L p/m;a;;;
10;1e Kantoor;Ansul;BSH 20m;Water;2010;2015;38 L p/m;a;;;
11;1e bij klas 59;Ansul;BSH 20m;Water;2010;2015;36 L p/m;a;;;
12;1e Keuken;Ansul;P506;Poeder;2010;;;a;;;
13;1e ketelhok;Ansul;P506;Poeder;2010;;;a;;;
8;BG Gang bij klas 22;Ansul;BSH 20m;Water;2010;2015;40 L p/m;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
