;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Gemeentehuis Oss ;;Datum:;Week 43 2014;;;;;Blusdekens;;
Adres:;Raadhuislaan 2, Oss;;Complexnr: ;C38034;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;4e traphuis;ansul;BSH 25m;water;1998;;38 l/min;a;;;
2;4e bij poetshok;saval;BSH 25m;water;1991;;32 l/min;a;;;
3;4e kantoor bij wc;saval;BSH 30m;water;2007;;28 l/min;a;;;
4;4e kantoor traphuis;saval;BSH 30m;water;2007;;38 l/min;a;;;
5;5e kantoor traphuis;saval;B9C;schuim;04-2008;;;a;;;
6;4e kantoor;saval;B9C;schuim;12-2007;;;a;;;
7;4e kantoor;saval;BSH 30m;water;2007;;32 l/min;a;;;
8;3e kantoor bij wc;saval;BSH 30m;water;2008;2013;36 l/min;a;;;
9;3e kantoor bij traphuis;saval;BSH 30m;water;2007;2013;;a;;;
10;3e kantoor bij traphuis;saval;B9C;schuim;04-2008;;;a;;;
11;3e kantoor;saval;BSH 30m;water;2007;2013;36 l/min;a;;;
12;3e kantoor;saval;B9C;schuim;04-2008;;;a;;;
13;3e kantoor bij deur M3.02;saval;BSH 30m;water;2008;2013;30 l/min;a;;;
14;3e kantoor bij traphuis;ansul;BSH 25m;water;1998;2013;42 l/min;a;;;
15;3e kantoor bij lift;saval;BSH 30m;water;2008;2013;32 l/min;a;;;
16;3e kantoor bij traphuis;saval;BSH 30m;water;2008;2013;;a;;;
17;3e kantoor bij traphuis;ansul;BSH 25m;water;1998;2013;44 l/min;a;;;
18;2e kantoor bij wc;saval;BSH 30m;water;2008;2013;36 l/min;a;;;
19;2e kantoor bij traphuis;saval;BSH 30m;water;2007;2013;32 l/min;a;;;
20;2e kantoor bij traphuis;saval;B9C;schuim;2008;;;a;;;
21;2e kantoor;saval;BSH 30m;water;2007;2013;30 l/min;a;;;
22;2e kantoor;saval;B9C;schuim;2008;;;a;;;
23;2e kantoor bij M2.02;saval;BSH 30m;water;2008;2013;32 l/min;a;;;
24;2e kantoor bij traphuis;ansul;BSH 25m;water;1998;2013;46 l/min;a;;;
25;2e kantoor bij lift;ansul;BSH 25m;water;1998;2013;46 l/min;a;;;
26;2e kantoor bij traphuis;ansul;BSH 30m;water;2008;2013;32 l/min;a;;;
27;2e kantoor bij traphuis;ansul;BSH 25m;water;1998;2013;34 l/min;a;;;
28;1e kantoor bij wc;saval;BSH 30m;water;2008;2013;36 l/min;a;;;
29;1e kantoor bij traphuis;saval;BSH 30m;water;2007;2013;32 l/min;a;;;
30;1e kantoor bij traphuis;bco;EFS9;schuim;2014;;;a;;;
31;1e kantoor bij traphuis;saval;BSH 30m;water;2007;2013;32 l/min;a;;;
32;1e kantoor bij traphuis;saval;B9C;schuim;2007;;;a;;;
33;1e bij telefoonruimte;saval;BSH 30m;water;2008;2013;40 l/min;a;;;
34;1e bij deur 1e verdieping;ansul;BSH 25m;water;1998;2014;46 l/min;a;;;
35;1e bij reprografie;ansul;BSH 25m;water;1998;2013;48 l/min;a;;;
36;1e automatisering;ansul;E3087;co2;1995;;;a;;;
37;1e bij lift;ansul;BSH 25m;water;1989;2014;48 l/min;a;;;
38;1e bij 1.12;saval;BSH 30m;water;2009;2014;36 l/min;a;;;
39;1e boven raadzaal;saval;BSH 30m;water;2010;;48 l/min;a;;;
40;bg werkplein;saval;BSH 30m;water;2008;2013;36 l/min;a;;;
41;bg werkplein;saval;B9C;schuim;2010;;;a;;;
42;bg werkplein;saval;BSH 30m;water;2008;2013;40 l/min;a;;;
43;bg werkplein;saval;B9C;schuim;2010;;;a;;;
44;bg bij werkplein ingang;saval;BSH 30m;water;2008;2013;40 l/min;a;;;
45;bg bij balie 13;saval;BSH 30m;water;2008;2013;44 l/min;a;;;
46;bg bij koffie app;saval;BSH 30m;water;2008;2013;52 l/min;a;;;
47;bg grote hal;saval;BSH 30m;water;2009;2014;40 l/min;a;;;
48;bg bij raadzaal;saval;BSH 30m;water;2009;2014;52 l/min;a;;;
49;bg bij raadzaal;saval;BSH 30m;water;2009;2014;40 l/min;a;;;
50;bg bij lift;ansul;BSH 25m;water;1998;2013;44 l/min;a;;;
51;restaurant;saval;BSH 30m;water;2010;;41 l/min;a;;;
52;kelder bij lift;ansul;BSH 25m;water;1998;2013;52 l/min;a;;;
53;kelder bij fietsstalling;ansul;BSH 25m;water;1998;2013;52 l/min;a;;;
54;kelder bij trap;ansul;BSH 25m;water;1998;2013;50 l/min;a;;;
55;kelder bij archief;saval;BSH 30m;water;1991;2013;36 l/min;a;;;
56;kelder bij archief;ansul;6-EC1095-C;schuim;2008;;;a;;;
57;kelder bij archief;ansul;6-EC1095-C;schuim;2008;;;a;;;
58;-1 bij draaitrap;bco;EFS6;schuim;2013;;;a;;;
59;-1 bij dartbord;bco;EFS6;schuim;2013;;;a;;;
60;kelder ketelhok;bco;EFS6;schuim;2013;;;a;;;
61;4e bij oude trap;bco;EFS6;schuim;2013;;;a;;;
62;bg keuken;saval;F6C;schuim;2009;;;a;;;
63-1;in archief;ansul;master c5;co2;2003;;;a;;;
64-1;in computerhok;ansul;master c5;co2;2003;;;a;;;
65;archief;uro-flame;mc5;co2;2014;;;a;Nieuw;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
