;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Gemeente Oss;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Horizonschool Poolster;;Datum:;Week 37 2014;;;;;Blusdekens;;
Adres:;Staringstraat 6-10, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
1;CV ruimte;Saval;AK 5;Co2;2010;;;a;;;
2;Gang bij 0.39;Saval;BSH 20;Water;2004;2014;40 l/min;a;;;
3;Gang bij 0.39;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
4;Pantry;Smeba;BSH 20;Water;2008;2013;38 l/min;a;;;
5;Pantry;Saval;B6C;Schuim;2010;;;a;;;
6;Einde gang;Smeba;BSH 20;Water;2008;2013;40 l/min;a;;;
7;Einde gang;Saval;B6C;Schuim;2010;;;a;;;
8;Gang 1e verdieping;Smeba;BSH 20;Water;2008;2013;36 l/min;a;;;
9;Gang 1e verdieping;Saval;B6C;Schuim;2010;;;a;;;
10;Gang bij 0.65;Saval;BSH 20;Water;2004;2014;40 l/min;a;;;
11;Gang bij 0.65;Saval;B6C;Schuim;2010;;;a;;;
12;Gang bij trap;Saval;BSH 20;Water;2004;2014;41 l/min;a;;;
13;Gang bij trap;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
14;Gang 1e verdieping;Saval;BSH 20;Water;2004;2014;38 l/min;a;;;
15;Gang 1e verdieping;Saval;B6C;Schuim;2010;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
