;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Anak Anak;;Datum:;April, 2015;;;;;Blusdekens;;
Adres:;Sint Willebrordplein 6, Tilburg;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Hal bij cv ruimte 2e verd;Kerzon;SA9;schuim;2007;;;a;;;
2;Hal 1e verdieping;Kerzon;SA9;schuim;2007;;;a;;;
3;Hal 1e verdieping;Saval;BSH 20 m;water;1989;;;a;;;
5;Bij noodtrap 1e verd;Kerzon;SA6;schuim;2011;;;a;;;
7;Hal begane grond;Saval;BSH 20 m;water;1989;;24 l/min;a;;;
8;Hal begane grond;Kerzon;SA9;schuim;2007;;;a;;;
9;Hal bij keuken BG;Kerzon;SA6;schuim;2007;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;2 Blussers vervallen na verbouwing;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
