;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;De Vuurvogel;;Datum:;April, 2015;;;;;Blusdekens;;
Adres:;Eikstraat 11, Tilburg;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang;Saval;BSH 20 m;water;2011;;30 l/min;a;;;
2;Gang;Saval;B6C;schuim;2010;;;a;;;
3;BSO 1e verdieping;Saval;B6C;schuim;2010;;;a;;;
4;Gang 1e verdieping;Saval;BSH 20 m;water;2011;;30 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
