;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Dirigent;;Datum:;April, 2015;;;;;Blusdekens;;
Adres:;Dirigentenlaan 19, Tilburg;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang;Ajax;BSH 20 m;Water;2010;2015;32 l/min;a;;;
2;Gang;Kerzon;SA6;Schuim;2008;;;a;;;
3;Gang;Ajax;BSH 30 m;Water;2010;2015;32 l/min;a;;;
4;Gang;Kerzon;SA6;Schuim;2007;;;a;;;
5;Gang;Ajax;BSH 30 m;Water;2010;2015;32 l/min;a;;;
6;Gang;Kerzon;SA6;Schuim;2007;;;a;;;
  Evt. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
