;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Dondersteentje;;Datum:;April 2015;;;;;Blusdekens;;
Adres:;Willem Smuldersplein 4a, Waalre;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang BSO;BCO;EFS6;Schuim;2015;;;a;Vervangen ivm fout product;;
2;Gang BSO;Saval;BSH 20 m;Water;1992;2012;28 l/min;a;;;
3;Gang;Ajax;BSH 20 m;Water;2007;2012;28 l/min;a;;;
4;Gang;BCO;EFS6;Schuim;2015;;;a;Vervangen ivm fout product;;
5;Gang;BCO;EFS6;Schuim;2015;;;a;Vervangen ivm fout product;;
6;Gang;Ajax;BSH 20 m;Water;2010;2015;28 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
