;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Krisj Krasj Kresj;;Datum:;April, 2015;;;;;Blusdekens;;
Adres:;Smidpad 76, Tilburg;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Centrale hal;Ajax;BSH 30 m;water;1993;2015;36 l/min;a;;;
2;Centrale hal;Kerzon;SA9;schuim;2007;;;a;;;
3;Zandoogje;Saval;BSH 20 m;water;1993;;;a;;;
4;Gang bij maanstappers;Kerzon;SA9;schuim;2007;;;a;;;
5;Zonnevleugel;Kerzon;SA9;schuim;2007;;;a;;;
6;CV + washok;BCO;EF6S;schuim;2015;;;a;;;
7;Grasbuik;Kerzon;SA9;schuim;2007;;;a;;;
8;Wollenpluis;Kerzon;SA9;schuim;2007;;;a;;;
9;Schalmel SL kamer;Ajax;BSH 20 m;water;2004;2015;24 l/min;a;;;
10;Schalmel SL kamer;Kerzon;SA9;schuim;2007;;;a;;;
11;Schalmel huiskamer;Kerzon;FS6;schuim;2010;;;a;;;
12;Sterrenkijker;Kerzon;SA9;schuim;2007;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
