;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens - Kinderstad;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Rendierhof;;Datum:;4-1-2015;;;;;Blusdekens;;
Adres:;Prof. Verbernelaan, Tilburg;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Keuken BG;Kerzon;S6D-TX;Schuim;2011;;;a;;;
2;Lokaal rechts 1e;Ajax;BSH 20 m;Water;2011;2015;28 l/min;a;;;
3;Lokaal links 1e;Ajax;BSH 20 m;Water;2011;2015;28 l/min;a;;;
4;Ketelhok 1e;Kerzon;FS6;Schuim;2012;;;a;;;
5;Keuken 2e;Kerzon;FS6;Schuim;2012;;;a;;;
6;Overloop 2e;Ajax;BSH 20 m;Water;2012;2015;26 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
