;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;Marty Gutte;;;;;Slangenhaspels-water;;
Locatie:;Armhoefse Akker;;Datum:;April, 2015;;;;;Blusdekens;;
Adres:;Van Heutszstraat 1a, Tilburg;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Hal binnenkomst;LBB;FS6;schuim;2012;;;a;;;
2;Hal binnenkomst;Ajax;BSH 20 m;water;2011;;32l/min;a;;;
3;Gang lokalen;LBB;FS6;schuim;2012;;;a;;;
4;Gang lokalen;Ajax;BSH 20 m;water;2011;;;a;;;
5;Gang bij trap;Saval;B6P;schuim;2008;;;a;;;
6;Gang bij lokalen;LBB;FS6;schuim;2012;;;a;;;
7;Gang bij lokalen;Ajax;BSH 20 m;water;2011;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
