;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Kuehne + Nagel;;Datum:;Week 29 2015;;;;;Blusdekens;;
Adres:;Bijsterhuizen 2514, Wijchen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
3782;bij portier K+N;NOHA;BSH 20 m;water;;2011;44 l/min;a;;;
3750;in kantine K+N;NOHA;BSH 20 m;water;;2011;44 l/min;a;;;
3682;in hal begande grond K+N;NOHA;BSH 20 m;water;;2011;44 l/min;a;;;
3733;gang kantoor BG;NOHA;BSH 20 m;water;;2011;44 l/min;a;;;
3772;kantoor 1e verd;NOHA;BSH 20 m;water;;2011;42 l/min;a;;;
13;kantoor 1e verd leeg 13;NOHA;BSH 20 m;water;;2011;42 l/min;a;;;
14;kantoor 13 verd leeg 14;NOHA;BSH 20 m;water;;2011;42 l/min;a;;;
1;traphuis 2e verd;NOHA;BSH 20 m;water;;2011;40 l/min;a;;;
2;SPRAGUE 2e verd;NOHA;BSH 20 m;water;;2011;40 l/min;a;;;
11;SPRAGUE 2e verd;NOHA;BSH 20 m;water;;2011;40 l/min;a;;;
3;Laad doc ingang;Smeba;MF 60;schuim;2011;;;a;;;
B1.5;Hal bij deur 4 links;Smeba;MC 5A;CO2;2009;;;a;;;
B1.4;Hal bij oplaadpunt;Smeba;MC 5A;CO2;2009;;;a;;;
B1.2;Hal bij werkplaats;Smeba;MC 5A;CO2;2009;;;a;;;
3731;Dataruimte hal;Smeba;MC 2A;CO2;2010;;;a;;;
B1.1;Traphal 1e verdieping;Smeba;MC 5A;CO2;2009;;;a;;;
1127;Hal sprague;Peng;K2A;CO2;2014;;;a;;;
1128;Hal sprague;Westhart;K2 SE;CO2;2014;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
