;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Regenboog;;Datum:;7-1-2015;;;;;Blusdekens;;
Adres:;Lijsterlaan 2, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Ingang;Kling;BSH 25m;Water;;2012;32 l/min;a;;;
2;Ingang;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
3;Gang links;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
4;Gang links;Kling;BSH 20m;Water;;2012;36 l/min;a;;;
5;Keuken;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
6;Kinderopvang;Ajax;BSH 25m;Water;;2012;32 l/min;a;;;
7;Groep 1-2;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
8;BSO;Noha;BSH 20m;Water;;2012;32 l/min;a;;;
9;Kinderopvang;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
10;Peuteropvang;Saval;BSH 20m;Water;;2012;22 l/min;a;;;
11;1e kinderopvang;Saval;BSH 20m;Water;;2012;26 l/min;a;;;
12;1e kinderopvang;Feucom;S6 L-D;Schuim;2011;;;a;;;
13;1e school;Kling;BSH 20m;Water;1995;2012;32 l/min;a;;;
14;1e school;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
15;2e school;Uro-Flame;EFS 6;Schuim;2011;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
