;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - leefafdeling 9;;Datum:;Week 27 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501, Vught;;Complexnr:;100191G02;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;hal paviljoen A;Ajax;BSH 30 m;water;1986;2013;36 l/min;a;H60.001;;;
2;bewaarderswacht A;Smeba;MF 60;schuim;2012;;;a;B60.001;;;
3;iso A-BS;Smeba;MF 60;schuim;2012;;;a;B60.002;;;
4;afdeling 9b;Ajax;BSH 25 m;water;2008;2013;32 l/min;a;H61.002;;;
5;bewaarderswacht B;BCO;EFS 6;schuim;2013;;;a;B61.001 ;;;
6;hal paviljoen B;Euro-fire;BSH 30 m;water;2009;2013;32 l/min;a;H61.001;;;
7;gang KMT;Smeba;MF 60;schuim;2012;;;a;B61.002;;;
8;gang KMT;Ajax;BSH 25 m;water;2008;2013;38 l/min;a;H61.003;;;
9;hal paviljoen C;Ajax;BSH 30 m;water;1986;2013;32 l/min;a;H62.001;;;
10;bewaarderswacht C;Smeba;MF 60;schuim;2012;;;a;B62.001;;;
11;iso C-DS;Smeba;MF 60;schuim;2012;2013;;a;B62.002;;;
12;iso C-DS;Ajax;BSH 25 m;water;1986;2013;32 l/min;a;H62.002;;;
13;bewaarderswacht D;Smeba;MF 60;schuim;2012;;;a;B62.001;;;
14;hal pavljoen D;Ajax;BSH 30 m;water;1986;2013;40 l/min;a;H63.001;;;
15;stiltecentrum server;Gloria;KS 2 SBS;CO2;2006;;;a;;;;
16;stiltecentrum  ;Ajax;BSH 25 m;water;2008;2013;40 l/min;a;H64.002;;;
17;stiltecentrum  ;Smeba;MF 60;schuim;2012;;;a;B64.001;;;
18;hal paviljoen E;Euro-fire;BSH 30 m;water;2007;2013;32 l/min;a;H64.001;;;
19;bewaarderswacht E;Smeba;MF 60;schuim;2012;;;a;B64.002;;;
20;iso E-FS;Smeba;MF 60;schuim;2012;;;a;B65.001;;;
21;cellengang F;Ajax;BSH 25 m;water;2008;2013;36 l/min;a;H65.002;;;
22;bewaarderswacht F;Smeba;MF 60;schuim;2012;;;a;B65.002;;;
23;half afd F;Gloria;BSH 30 m;water;onbekend;2013;28 l/min;a;H65.001;;;
24;crea muziek;Smeba;MF 60;schuim;2012;;;a;B65.003;;;
25;crea muziek;Ajax;BSH 25 m;water;2008;2013;44 l/min;a;H65.002;;;
26;hal afd G;Gloria;BSH 30 m;water;2007;2013;40 l/min;a;H66.001;;;
27;bewaarderswacht G;Smeba;MF 60;schuim;2011;;;a;B66.001;;;
28;iso G HS;Smeba;MF 60;schuim;2012;;;a;B66.002;;;
29;cellengang H;Ajax;BSH 25 m;water;2008;2013;32 l/min;a;H67.002;;;
30;bewaarderswacht H;Smeba;MF 60;schuim;2012;;;a;B67.001;;;
31;hal afd H;Ajax;BSH 30 m;water;1986;2013;40 l/min;a;H67.001;;;
32;gang GH.I en BVO;Saval;BSH 20 m;water;2008;2013;36 l/min;a;H66.101;;;
33;gang bij 66121 M.D.;Saval;BSH 20 m;water;2008;2013;36 l/min;a;H65.101;;;
34;gang bij 64114;Saval;BSH 20 m;water;2008;2013;34 l/min;a;H64.101;;;
35;gang kleedruimte dojo;Saval;BSH 20 m;water;2008;2013;36 l/min;a;H63.101;;;
36;gang bij 62109;Saval;BSH 20 m;water;2008;2013;36 l/min;a;H62.101;;;
37;gang kantoor ltb;Saval;BSH 20 m;water;2008;2013;36 l/min;a;H61.102;;;
38;gang bij 61109;Saval;BSH 20 m;water;2008;2013;36 l/min;a;H61.101;;;
39;2e verd cv ruimte;Smeba;MC 5 E;CO2;2012;;;a;B63.203;;;
40;2e verd data ruimte;Smeba;MC 5 E;CO2;2012;;;a;B64.201;;;
41;2e verd gang;Smeba;MF 60;schuim;2012;;;a;B64.202;;;
42;gang kleedruimte dojo;Smeba;MF 60;schuim;2012;;;a;B63.102;;;
43;BVO GHI 1e verd;Smeba;MF 60;schuim;2011;;;a;B66.103;;;
43a;cova;BCO;EFS6;schuim;2014;;;a;;;;
44;gang kantoren G;BCO;EFS 6;schuim;2013;;;a;B66.102;;;
45;gang bij spreekkamer;BCO;EFS 6;schuim;2013;;;a;B65.101;;;
46;onderwijs EF 1e verd;BCO;EFS 6;schuim;2013;;;a;B65.103;;;
47;sportinstructeurs 1e verd;Smeba;MC2A;CO2;2012;;;a;B63.101;;;
48;bij kleedruimte sport;Smeba;MF 60;schuim;2011;;;a;B64.101;;;
49;onderwijs ABI-BVO;Smeba;MC5A;CO2;2009;;;a;B61.101;;;
50;ABI-BVO-CREA;Smeba;MF 60;schuim;2012;;;a;B61.102;;;
51;gang kantoren C-D 1e;Smeba;MF 60;schuim;2012;;;a;B61.103;;;
52;Gang kantoren C-D 1e;Smeba;MF 60;schuim;2012;;;a;B62.101;;;
53;wachtruimte 1e verd;Smeba;MF 60;schuim;2011;;;a;B62.102;;;
54;gang boven D;Gloria;S6DLWB;schuim;2009;;;a;B64.102;;;
55;praktijk lokaal;Smeba;BSH 20 m;water;2009;2013;44 l/min;a;H69.007;;;
56;gang TD;Smeba;MF 60;schuim;2012;;;a;B69.009;;;
57;magazijn;Smeba;MF 60;schuim;2012;;;a;B69.008;;;
58;hal magazijn;Smeba;BSH 20 m;water;2009;2013;36 l/min;a;H69.004;;;
59;facilitaire dienst;BCO;EFS6;schuim;2014;;;a;B69.006;;;
60;IBT theorie lokaal;Smeba;BSH 20 m;water;2009;2013;44 l/min;a;H69.006;;;
61;IBT garderobe;Euro-fire;BSH 25 m;water;2007;2013;40 l/min;a;H69.008;;;
62;IBT garderobe;Smeba;MC5E;CO2;2012;;;a;B69.011;;;
63;garage IBT;Euro-fire;BSH 20 m;water;2008;2013;36 l/min;a;H69.005;;;
64;BIPO afd 9;Smeba;MF 60;schuim;2012;;;a;B68.002;;;
65;gang bij 68036;Smeba;MF 60;schuim;2012;;;a;B68.003;;;
66;gang bij 68036;Ajax;BSH 25 m;water;1986;2013;36 l/min;a;H68.002;;;
67;cv ruimte BG;Gloria;KS 5 SE;CO2;2006;;;a;B68.004;;;
68;gang bij 68048;Smeba;MF 60;schuim;2012;;;a;B68.005;;;
69;gang bij 68048;Ajax;BSH 25 m;water;1986;2013;38 l/min;a;H68.003;;;
70;gang bij pantry;Ajax;BSH 25 m;water;1986;2013;36 l/min;a;H68.001;;;
71;kantoor G vd Weerde;Smeba;MF 60;schuim;2012;;;a;B68.001;;;
72;bij visitatie keuken;Saval;BSH 20 m;water;2008;2013;36 l/min;a;H69.003;;;
73;inschrijflokaal;BCO;EFS6;schuim;2014;;;a;B69.005;Vernieuwd;;
74;visitatie keuken;BCO;EFS6;schuim;2013;;;a;B69.007;;;
75;gang gedet. Bezoek;BCO;EPS6;poeder;2013;;;a;;;;
76;bij bij vergaderzaal;Smeba;MF 60;schuim;2012;;;a;;;;
77;bez. Achter glas;Gloria;BSH 20 m;water;2008;2013;36 l/min;a;H69.002;;;
78;bez. Gang gedetineerde;Saval;BSH 20 m;water;2001;2013;36 l/min;a;H69.001;;;
79;bewaarderswacht bez.;Smeba;MF 60;schuim;2012;;;a;B69.003;;;
80;TD ruimte;Gloria;ks5 se;CO2;2005;;;a;B69.001;;;
81;personeelsruimte;Smeba;mc5e;CO2;2012;;;a;B69.002;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;9x Blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
