;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;J. Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;PI Vught - Unit 2 oudbouw + TBS;;Datum:;Week 23 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501, Vught;;Complexnr: ;100191G03;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;Bewaarderswacht P;Smeba;MF 60;schuim;2011;;;a;B27.001;;;
2;Keuken afdeling P;Ajax;BSH 30 m;water;2007;2013;36 l/min;a;H27.001;;;
3;Keuken afdeling O;Saval;BSH 30 m;water;2009;2013;38 l/min;a;H26.001;;;
4;Bewaarderswacht O;Smeba;MF 60;schuim;2012;;;a;B26.002;;;
5;Bewaarderswacht M;Smeba;MF 60;schuim;2012;;;a;B20.002;;;
6;Keuken afd M;Ajax;BSH 30 m;water;2007;2013;40 l/min;a;H20.001;;;
7;Keuken afd N;Ajax;BSH 30 m;water;2007;2013;36 l/min;a;H21.001;;;
8;Bewaarderswacht N;Smeba;MF 60;schuim;2011;;;a;B21.001;;;
9;Bipo unit 2;Smeba;MC5A;CO2;2009;2013;;a;B20.001;;;
10;Stafwacht C-D;Smeba;MF 60;schuim;2012;;;a;B24.001;;;
11;Stafwacht C-D;Saval;BSH 30 m;water;2002;2011;32 l/min;a;H24.001;;;
12;stafwacht C;Smeba;MF 60;schuim;2012;;;a;B24.002;;;
13;Stafkamer B;Smeba;MF 60;schuim;2010;;;a;B23.001;;;
14;Soos ruimte (gang);Saval;BSH 25 m;water;2002;2011;36 l/min;a;H23.001;;;
15;Soos ruimte;Smeba;MF 60;schuim;2012;;;a;B24.004;;;
16;Soos ruimte;Smeba;MF 60;schuim;2012;;;a;;;;
17;kantoortje 2a;Ajax;BSH 30 m;water;2010;2010;32 l/min;a;;;;
18;kantoortje 2a;Smeba;MF 60;schuim;2012;;;a;;;;
19;TD ruimte 2a;Gloria;ks 5 se;CO2;2006;;;a;B22.002;;;
20;ISO a-b;Smeba;MF 60;schuim;2011;;;a;B22.001;;;
21;stafkamer A-B;Smeba;MF 60;schuim;2011;;;a;B23.002;;;
22;stafkamer A-B;Saval;BSH 30 m;water;2002;2011;36 l/min;a;H23.002;;;
23;Centrale hal 1e verd;Saval;BSH 25 m;water;2002;2013;36 l/min;a;H24.102;;;
24;Centrale hal 1e verd;Smeba;MF 60;schuim;2011;;;a;B24.101;;;
25;TD ruimte 23120 B;Gloria;ks 5 se;CO2;2006;;;a;B23.101;;;
26;Gang stafkamer F;Saval;BSH 25 m;water;2002;2013;36 l/min;a;H23.101;;;
27;stafkamer F;Smeba;MF 60;schuim;2011;;;a;B22.101;;;
28;TD ruimte buiten A;Gloria;ks 5 se;CO2;2006;;;a;;;;
29;gang stafkamer E;Saval;BSH 25 m;water;2002;2013;28 l/min;a;H24.101;;;
30;stafkamer E;Smeba;MF 60;schuim;2011;;;a;B25.101;;;
31;TD ruimte D;Gloria;ks 5 se;CO2;2006;;;a;;;;
32;ISO C-D;Ajax;BSH 25 m;water;;2013;32 l/min;a;H25.001;;;
33;TD ruimte D;Gloria;ks 5 se;CO2;2006;;;a;B25.001;;;
34;TD ruimte C;Gloria;ks 5 se;CO2;2006;;;a;B24.003;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;10x Blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
