;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;J. Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;PI Vught - Unit 3 werkzalen + sport;;Datum:;Week 26, 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501, Vught;;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;Werkzaal 1;Saval;BSH 20 m;water;1993;2014;34 l/min;a;H38.001;;;
2;Kantoor 1-2;BCO;EFS 6;schuim;2013;;;a;B38.001;;;
3;Werkzaal 2;Saval;BSH 20 m;water;1993;2014;38 l/min;a;H38.002;;;
4;Magazijn WZ 1-2;Saval;BSH 20 m;water;1993;2013;36 l/min;a;H38.008;;;
5;TD ruimte WZ1;Gloria;ks 5 se;CO2;2006;;;a;B38.-;;;
6;Werkzaal 3 groen;Saval;BSH 20 m;water;1993;2013;40 l/min;a;H38.003;;;
7;Nishut tuinman;BCO;EPS 6;poeder;2015;;;a;B38.004B;;;
8;Nishut tuinman;BCO;EPS 6;poeder;2015;;;a;B38.004A;;;
9;Werkzaal 3 groen;Smeba;MF 60;schuim;2011;;;a;B38.004;;;
10;Kantoor WZ 3-4;Smeba;MF 60;schuim;2013;;;a;B38.002;;;
11;Werkzaal 4;Saval;BSH 20 m;water;1993;2013;32 l/min;a;H38.004;;;
12;Magazijn 5-6;Saval;BSH 20 m;water;1993;2013;30 l/min;a;H38.007;;;
13;Werkzaal 5;Saval;BSH 20 m;water;1993;2013;36 l/min;a;H38.005;;;
14;Kantoor 5-6;BCO;EFS 6;schuim;2013;;;a;B38.-;;;
15;Werkzaal 6;Saval;BSH 20 m;water;1993;2013;32 l/min;a;H38.006;;;
16;Gymzaal;Saval;BSH 25 m;water;1993;2013;32 l/min;a;H72.003;;;
17;Kantoor sport;Smeba;MF 60;schuim;2013;;;a;B72.001;;;
18;Kleedkamer sport R;Euro-fire;BSH 20 m;water;2006;2013;36 l/min;a;H72.001;;;
19;Kleedkamer sport L;Euro-fire;BSH 20 m;water;2006;2013;36 l/min;a;H72.002;;;
20;TD sport;BCO;EC5;CO2;2013;;;a;B72.002;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;4 stuks Blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
