;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;PI Vught - Unit 4 gebouw 87;;Datum:;Week 24 2015;;;;;Blusdekens;;
Adres:;Lunettelaan 501, Vught;;Complexnr: ;100191G26;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur/Opmerking;;
B87.001;Unit 87;Smeba;MF-60;Schuim;2010;;;a;B.H.V. ruimte 93;;
H87.001;Unit 87 begane grond 4 i;Saval;B.S.H. 20m;Water;1998;2013;32 l/min;a;;;
H87.101;Unit 87 1e verdieping 4 k;Saval;B.S.H. 20m;Water;1998;2013;42 l/min;a;;;
B87.002;Unit 87 B.G.;Smeba;MF-60;Schuim;2012;;;a;;;
H87.201;Unit 87 2e verdieping;Saval;B.S.H. 20m;Water;1996;2013;40 l/min;a;;;
B87.201;Unit 87 2e verdieping;Smeba;MF-60;Schuim;2012;;;a;;;
H87.301;Unit 87 3e verdieping;Saval;B.S.H. 20m;Water;1996;2013;36 l/min;a;;;
B87.301;Unit 87 3e verdieping ketelhuis;Smeba;MC-SA;Co2;2009;;;a;;;
B87.302;Unit 87 3e verdieping 9;Smeba;MF-60;Schuim;2012;;;a;;;
H88.001;Unit 4 j;Saval;BSH 20m;Water;1998;2013;40 l/min;a;;;
B88.002;Unit 4 bewaarderswacht 1e verdieping;Smeba;MF-60;Schuim;2012;;;a;;;
H88.101;Cellengang 4L;Saval;B.S.H. 20m;Water;1998;2013;42 l/min;a;;;
H88.201;Cellengang 4N;Saval;B.S.H. 20m;Water;1998;2013;40 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;1x blusdeken;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
