;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - Unit 7;;Datum:;Week 21 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501;;Complexnr: ;100191G31;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;binnenportier;Gloria;KS 5 se;CO2;2003;;;a;B103.002;;;
2;gang binnen portier;Saval;BSH 20 m;water;2002;2013;40 l/min;a;H103.002;;;
3;technische ruimte heren 103005;Gloria;KS 5 se;CO2;2003;;;a;B103.002;;;
4;voormalige schilderwerkplaats;Saval;BSH 20 m;water;2002;2012;48 l/min;a;H103.001;;;
5;voormalige schilderwerkplaats;BCO;EFS 6;schuim;2013;;;a;B103.001;;;
6;hal bij bibliotheek;Saval;BSH 20 m;water;2002;2012;48 l/min;a;H102.002;;;
7;opslagruimte bij bibliotheek;Gloria;BSH 30 m;water;onbekend;2012;36 l/min;a;H102.003;;;
8;hal kantoor fitness;BCO;EFS 6;schuim;2013;;;a;B102.001;;;
9;fitness ruimte;Saval;BSH 20 m;water;2002;2012;36 l/min;a;H102.001;;;
10;gang bij 103 104;BCO;EFS 6;schuim;2013;;;a;B103.102;;;
11;gang bij 103 104;Saval;BSH 20 m;water;2002;2012;44 l/min;a;H103.102;;;
12;gang medische dienst;Saval;BSH 20 m;water;2002;2012;42 l/min;a;H103.101;;;
12a;Kantoor MD;BCO;EFS 6;schuim;2014;;;a;;;;
13;gang M.W. 1e verd;Saval;BSH 20 m;water;2002;2013;38 l/min;a;H102.102;;;
14;in ruimte 102108d;BCO;EFS 6;schuim;2013;;;a;B102.101;;;
15;in technische ruimte 117;Gloria;KS 5 se;CO2;2003;;;a;B102.102;;;
16;trappenhal BSD;Smeba;BSH 20 m;water;2012;2012;32 l/min;a;H102.101;;;
17;hal afdeling A-B BG;Saval;BSH 20 m;water;2002;2012;36 l/min;a;H100.004;;;
18;bewaarders A-B;BCO;EFS 6;schuim;2013;;;a;B;;;
19;cellengang afdeling A;Saval;BSH 20 m;water;2002;2013;32 l/min;a;H100.003;;;
20;cellengang afdeling A;Euro Fire;BSH 20 m;water;2008;2012;36 l/min;a;H100.002;;;
21;iso gang afdeling A;Saval;BSH 20 m;water;2002;2012;46 l/min;a;H100.001;;;
22;cellengang B;Euro Fire;BSH 20 m;water;2006;2012;36 l/min;a;H101.001;;;
23;cellengang B;Saval;BSH 20 m;water;2002;2012;48 l/min;a;H101.002;;;
24;hal afdeling C-D;Smeba;BSH 20 m;water;2012;2012;40 l/min;a;H100.103;;;
25;cellengang afdeling C;Smeba;BSH 20 m;water;2012;2012;36 l/min;a;H100.102;;;
26;celengang afdeling C;Smeba;BSH 20 m;water;2012;2012;36 l/min;a;H100.101;;;
27;kantoor C-D;BCO;EFS 6;schuim;2013;;;a;B101.101;;;
28;cellengang afdeling D;Saval;BSH 20 m;water;2002;2012;36 l/min;a;H101.101;;;
29;cellengang afdeling D;Euro Fire;BSH 20 m;water;2008;2012;36 l/min;a;H101.102;;;
30;hal afdeling E-F;Saval;BSH 20 m;water;2002;2012;32 l/min;a;H100.203;;;
31;cellengang afdeling E;Gloria;BSH 20 m;water;2007;2013;34 l/min;a;H100.202;;;
32;cellengang afdeling E;Saval;BSH 20 m;water;2002;2013;40 l/min;a;H100.201;;;
33;kantoor E-F;BCO;EFS 6;schuim;2013;;;a;B100.201;;;
34;cellengang afdeling F;Euro Fire;BSH 20 m;water;2008;2013;32 l/min;a;H101.201;;;
35;cellengang afdeling F;Smeba;BSH 20 m;water;2012;2012;32 l/min;a;H101.202;;;
36;Sprinkler unit 7;BCO;EFS 6;schuim;2013;;;a;;;;
37;T.R. trappenhuis A-B;Smeba;MF 60;schuim;2011;;;a;B101.001;;;
38;T.R. trappenhuis C-D;Smeba;MF 60;schuim;2011;;;a;B101.102;;;
39;T.R. trappenhuis E-F;Gloria;KS 5 se;CO2;2003;;;a;B101.201;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;5x blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
