;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - gebouw 80;;Datum:;Week 25 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501;;Complexnr:;100191G06;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;Gang bij 80046;Saval;BSH 25 m;water;2010;2010;36 l/min;a;H80.005;;;
2;Gang onderwijs;Saval;BSH 20 m;water;1994;2013;36 l/min;a;H80.002;;;
3;Gang onderwijs;Smeba;MF 60;schuim;2012;;;a;B80.002;;;
4;Hal bibliotheek;Saval;BSH 20 m;water;1994;2013;36 l/min;a;H80.001;;;
5;Hal bibliotheek;Smeba;MF 60;schuim;2012;;;a;B80.001;;;
6;Ingang hal;Saval;BSH 25 m;water;2010;2010;32 l/min;a;H80.001A;;;
7;Gang fac. dienst;Saval;BSH 20 m;water;1994;2013;36 l/min;a;H80.003;;;
8;Gang fac. dienst;Smeba;MF 60;schuim;2012;;;a;B80.003;;;
9;Gang bij 80110;Saval;BSH 20 m;water;1994;2013;36 l/min;a;H80.101;;;
10;Gang bij 80110;Smeba;MF 60;schuim;2012;;;a;B80.101;;;
11;Gang bij 80121;Saval;BSH 20 m;water;1994;2013;32 l/min;a;H80.102;;;
12;Gang bij 80121;Smeba;MF 60;schuim;2012;;;a;B80.102;;;
13;Gang directeur;Saval;BSH 20 m;water;1994;2013;36 l/min;a;H80.201;;;
14;Gang directeur;Smeba;MF 60;schuim;2012;;;a;B80.201;;;
15;cv ruimte 2e verd;Gloria;ks 5 se;CO2;2003;;;a;B80.301;;;
16;Gang hal 2e verd;Saval;BSH 25 m;water;2010;2010;32 l/min;a;H80.202A;;;
17;Gang bij 80226;Smeba;MF 60;schuim;2012;;;a;B80.202;;;
18;Gang bij 80228;Saval;BSH 20 m;water;1994;2013;36 l/min;a;H80.202A;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;1 x Blusdeken;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
