;;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;;
;;Bco Brandpreventie;;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;;Poederblussers;;
;;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;John Nederkoorn;;;;;;Slangenhaspels-water;;
Locatie:;P.I. Vught - Voertuigen;;Datum:;Juli 2015;;;;;;Blusdekens;;
Adres:;Lunettenlaan 501;;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;;Reden afkeur;;
1;ME bus VJ-29-ZH 03;Gloria ;F2GM;poeder;2005;;;a;;;;
2;ME bus VJ-29-ZH 02;Gloria ;S6D ECO;schuim;2008;;;a;;;;
3;ME bus VJ-29-ZH 01;Saval;PG 9;poeder;2013;;;a;;;;
4;Bus 90-XB-KT;BCO;EFS 6;schuim;2013;;;a;;;;
5;Bus 62-XB LG;Smeba;MG 50;schuim;2011;;;a;;;;
6;Bus 99-PJ-DF;Gloria ;S6 bio;schuim;2006;;;a;;;;
7;Renault 1 vzl go;Smeba;MF 60;schuim;2011;;;a;;;;
  Ev. Opmerkingen:;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
