;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Vivent;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;­;;Datum:;5-1-2015;;;;;Blusdekens;;
Adres:;Rijnstraat 4, Den Bosch;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Glazen gedeelte;Ajax;BSH 20m;Water;;;32 l/min;a;;;
2;01 naast trap;Ajax;BSH 20m;Water;;2013;36 l/min;a;;;
3;113;Moyne Roberts;MF-60;Schuim;2013;;;a;;;
4;1e verdieping rechts;Ajax;BSH 20m;Water;;;32 l/min;a;;;
5;1e verdieping rechts;Moyne Roberts;MF-60;Schuim;2013;;;a;;;
6;2e verdieping links;Moyne Roberts;BSH 20m;Water;2008;2013;32 l/min;a;;;
7;2e verdieping links;Moyne Roberts;MF-60;Schuim;2013;;;a;;;
8;3e verdieping balie;Moyne Roberts;BSH 20m;Water;2011;;32 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
