;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Vortex De Klok;;Datum:;Week 6 2015;;;;;Blusdekens;;
Adres:;Energieweg 19b, Venray;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
B1;Kantoor begane grond;BCO;EFS 6;Schuim;2015;;;a;;;
H1;Hal kantoor begane grond;Saval;BSH 25m;Water;2000;2015;60 l/min;a;;;
B2;Kantine 1e verdieping;BCO;EFS 6;Schuim;2015;;;a;;;
H2;Kantine 1e verdieping;Saval;BSH 25m;Water;2000;2015;56 l/min;a;;;
H3;Opslaghal bij technische ruimte;Saval;BSH 25m;Water;1999;2015;40 l/min;a;;;
H4;Opslaghal voor ;Saval;BSH 25m;Water;1999;2015;42 l/min;a;;;
H5;Opslaghal zijkant;Saval;BSH 25m;Water;1999;2015;56 l/min;a;;;
H6;Opslaghal achter;Saval;BSH 25m;Water;1999;2015;56 l/min;a;;;
H7;Opslaghal achter;Saval;BSH 25m;Water;1999;2015;52 l/min;a;;;
H8;Opslaghal achter;Saval;BSH 25m;Water;1999;2015;56 l/min;a;;;
H9;Opslaghal zijkant;Saval;BSH 25m;Water;1999;2015;54 l/min;a;;;
H10;Opslaghal zijkant;Saval;BSH 25m;Water;1999;2015;52 l/min;a;;;
SL.w1;Opslaghal voor ;Ajax;SL. W15m3/4  45m1;Water;2000;2015;60 l/min;a;;;
SL.w2;Opslaghal achter;Ajax;SL. W15m3/4  45m1;Water;2000;2015;60 l/min;a;;;
SL.w3;Opslaghal achter;Ajax;SL. W15m3/4  45m1;Water;2000;2015;60 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
