;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kemkens;;Naam monteur:;Jordi Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Venray;;Datum:;7-1-2015;;;;;Blusdekens;;
Adres:;Energieweg 19B;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;;Saval;Bsh 25m;water;1999;2015;56L p/m;a;;;
2;;Saval;Bsh 25m;water;1999;2015;52L p/m;a;;;
3;;Saval;Bsh 25m;water;1999;2015;56 L p/m;a;;;
4;;Saval;Bsh 25m;water;1999;2015;56 L p/m;a;;;
5;;Ajax;Bsh 25m;water;2001;2015;48L p/m;a;Verrijdbare bluswagen;;
6;;Ajax;Bsh 25m;water;2003;2015;52 L p/m;a;;;
8;;Saval;Bsh 25m;water;1999;2015;42 L p/m;a;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Looproute volgen voor alle Bsh's;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
