;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Kleurrijk Wonen;;Naam monteur:;J Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Oranjehof ;;Datum:;10-1-2015;;;;;Blusdekens;;
Adres:;Kasteellaan 1, Buren;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Hoofd ingang;Saval;BSH 25m;Water;2008;2013;48 L p/m;a;;;
1a;Hoofd ingang;Saval;PG6;Poeder;2008;;;a;;;
2;Achter ingang;Saval;BSH 25m;Water;2008;2013;42 L p/m;a;;;
2a;Achter ingang;Saval;PG6;Poeder;2008;;;a;;;
2b;Keuken;BCO;EWCs6;Wet Chemical;2015;;;a;;;
3;P.G Ingang;Saval;BSH 25m;Water;2008;2013;48 L p/m;a;;;
3a;P.G Ingang;Saval;PG6;Poeder;2008;;;a;;;
4;P.G Achterin;Saval;BSH 25m;Water;2008;2013;46 L p/m;a;;;
4a;P.G Achterin;Saval;PG6;Poeder;2008;;;a;;;
1-2;1e bij 1.17;Saval;BSH 25m;Water;2008;2013;42 L p/m;a;;;
1-2a;1e bij 1.17;Saval;PG6;Poeder;2008;;;a;;;
1-1;1e bij 17.5;Saval;BSH 25m;Water;2008;2013;42 L p/m;a;;;
1-1a;1e bij 17.5;Saval;PG6;Poeder;2008;;;a;;;
1-3 ;1e bij 101;Saval;BSH 25m;Water;2008;2013;40 L p/m;a;;;
1-3a;1e bij 101;Saval;PG6;Poeder;2008;;;a;;;
2-2;2e bij 178;Saval;BSH 25m;Water;2008;2013;40 L p/m;a;;;
2-2a;2e bij 178;Saval;PG6;Poeder;2008;;;a;;;
2-1;2e bij 17.12;Saval;BSH 25m;Water;2008;2013;46 L p/m;a;;;
2-1a;2e bij 17.12;Saval;PG6;Poeder;2008;;;a;;;
2-5;2e Technische ruimte ;Saval;AK5;CO2;2008;;;a;;;
2-3;2e gang 209;Saval;BSH 25m;Water;2008;2013;42 L p/m;a;;;
2-3a;2e gang 209;Saval;PG6;Poeder;2008;;;a;;;
2-4;2e gang 205;Saval;BSH 25m;Water;2008;2013;36 L p/m;a;;;
2-4a;2e gang 205;Saval;PG6;Poeder;2008;;;a;;;
;;;;;;;;;;;
;Aanliggend gebouw;;;;;;;;;;
1;bij 15 B;Ansul;BSH 25m;Water;1993;2014;40 L p/m;a;;;
2;bij 13;Ansul;BSH 25m;Water;1993;2014;36 L p/m;a;;;
3;bij 13;Moyne-Roberts;MF-60;Schuim;2015;;;a;;;
5;Bij 15 B;Moyne-Roberts;MF-60;Schuim;2015;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
