;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Leontien Huis;;Naam monteur:;Jordi Verhagen;;;;;Slangenhaspels-water;;
Locatie:;Leontien Huis;;Datum:;6-1-2015;;;;;Blusdekens;;
Adres:;Zuidplasweg 13, Zevenhuizen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang bij kantoor;Uro-Flame;BSH 25M;Water;2015;;20 L p/m;X; Niet genoeg capaciteit;;
2;1e verd. Gang;Uro-Flame;BSH 25M;Water;2015;;20 L p/m;X;Niet genoeg capaciteit;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Volgens de NEN EN 671-1 moet de minimale capaciteit van een brandslanghaspel ''21,67 L p/m'' zijn.;;;;;;;;;;
;;;;;;;;;;;
X;Afgekeurd;;;;;;;;;;
?;Goedgekeurd;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
