;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Hotel Berghem;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;­;;Datum:;5-1-2015;;;;;Blusdekens;;
Adres:;Burgemeester van Erpstraat 99, Berghem;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Dienstruimte CV -1;Jaru;5 KG;CO2;2013;;;a;;;
2;Gang -1;Saval;BSH 30m;Water;2013;2015;28 l/min;a;;;
3;Keuken -1;;SN6 Bio+;Bremix Berkicold;2013;;;a;;;
4;Hal begane grond;Saval;BSH 30m;Water;2013;2015;32 l/min;a;;;
5;Hal 1e verdieping;Saval;BSH 30m;Water;2013;2015;32 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
