;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Huis en Erf;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Berlerode;;Datum:;Oktober, 2015;;;;;Blusdekens;;
Adres:;Kloosterhof 8, Berlicum;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
H1;Gang begane grond bij 4c;Ajax;B.S.H. 30m;Water;2013;;32 l/min;a;;;
H2;Restaurant links;Ajax;B.S.H. 30m;Water;2013;;32 l/min;a;;;
H3;Bij kapsalon;Ajax;B.S.H. 30m;Water;2013;;32 l/min;a;;;
H4;Huiskamer 10a;Ajax;B.S.H. 20m;Water;2013;;32 l/min;a;;;
H5;Huiskamer 10b;Ajax;B.S.H. 20m;Water;2013;;30 l/min;a;;;
H6;Huiskamer 10c;Ajax;B.S.H. 30m;Water;2013;;30 l/min;a;;;
H7;Huiskamer 10d;Ajax;B.S.H. 20m;Water;2013;;30 l/min;a;;;
H8;Huiskamer 10e;Ajax;B.S.H. 30m;water;2013;;30 l/min;a;;;
H9;Gang 1e verdieping bij 5b;Ajax;B.S.H. 20m;Water;2013;;32 l/min;a;;;
H10;Gang 2e verdieping bij 6b;Ajax;B.S.H. 20m;Water;2013;;30 l/min;a;;;
H11;Gang 3e verdieping bij 7b;Ajax;B.S.H. 20m;Water;2011;;30 l/min;a;;;
12;Hal bij lift PG BG;Ajax;ES6N;Schuim;2013;;;a;;;
13;Hal PG bij lift 1e;Ajax;ES6N;Schuim;2013;;;a;;;
14;Hal PG bij lift 2e;Ajax;ES6N;Schuim;2013;;;a;;;
15;Keuken;Ajax;C5S;CO2;2013;;;a;;;
16;Ketelhuis;Ajax;C5S;CO2;2013;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
