;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Aatrium;;Datum:;Week 5 2015;;;;;Blusdekens;;
Adres:;Trompstraat 21 Veghel;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
0-1;naast receptie;Saval;BSH 20 m;water;1998;2015;32 l/min;a;;;
0-1a;bij receptie;Simplus;SLW-6D;schuim;1999;;;a;;;
0-2;hal bij ruimte 017;Saval;BSH 20 m;water;1998;2015;40 l/min;a;;;
0-3;gang de golf P5;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
0-4;gang de golf P2;Saval;BSH 20 m;water;1998;2015;40 l/min;a;;;
0-4a;woonkamer golf;Alfur;HK 2N;co2;2010;;;a;;;
0-5;keuken restaurant;Saval;BSH 20 m;water;1998;2015;36 l/min;a;;;
0-5a;keuken restaurant;Alfur;HK 5;co2;1998;;;a;;;
0-6;gang bij kantine;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
1-1;gang bij kamer 102;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
1-1a;postverzorging;Simplus;SLW-6D;schuim;2001;;;a;;;
1-2;gang bij kamer 104;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
1-3;gang bij kamer 107;Saval;BSH 20 m;water;1998;2015;36 l/min;a;;;
1-4;gang bij kamer 116;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
1-5;gang bij kamer 120;Saval;BSH 20 m;water;1998;2015;36 l/min;a;;;
2-1;gang bij kamer 202;Saval;BSH 20 m;water;1998;2015;40 l/min;a;;;
2-1a;postverzorging;BCO;EFS 6;schuim;2015;;;a;;;
2-2;gang bij kamer 204;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
2-3;gang bij kamer 207;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
2-4;gang bij kamer 216;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
2-5;gang bij kamer 220;Saval;BSH 20 m;water;1998;2015;40 l/min;a;;;
3-1;gang bij kamer 302;Saval;BSH 20 m;water;1998;2015;36 l/min;a;;;
3-1a;postverzorging;Simplus;SLW-6D;schuim;2001;;;a;;;
3-2;gang bij kamer 304;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
3-3;gang bij kamer 307;Saval;BSH 20 m;water;1998;2015;36 l/min;a;;;
3-4;gang bij kamer 316;Saval;BSH 20 m;water;1998;2015;38 l/min;a;;;
3-5;gang bij kamer 320;Saval;BSH 20 m;water;1998;2015;40 l/min;a;;;
Z-1;zolder aatrium;Saval;BSH 20 m;water;1998;2015;36 l/min;a;;;
Z-1a;hal bij lift;BCO;EFS 6;schuim;2015;;;a;;;
Z-2;zolder centraal;Saval;BSH 20 m;water;1998;2015;32 l/min;a;;;
Z-2a;ketelhuis;Saval;PG 9;poeder;1998;;;a;;;
Z-3;zolder berging;Saval;BSH 20 m;water;1998;2015;34 l/min;a;;;
Z-3a;bij kantoor TD;Simplus;SLW-6D;schuim;2000;;;a;;;
Z-4;zolder berging;Saval;BSH 20 m;water;1998;2015;32 l/min;a;;;
Z-5;zolder bij archief;Saval;BSH 20 m;water;1998;2015;28 l/min;a;;;
Z-5a;gang bij archief;Saval;M9P;schuim;2000;;;a;;;
Z-5b;archief rechts;Simplus;SLW-6D;schuim;2001;;;a;;;
Z-5c;bij traphuis;Simplus;MF-60;schuim;2007;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;In keuken geen vetblusser aanwezig.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
