;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Muzerijk;;Datum:;Week 8 2015;;;;;Blusdekens;;
Adres:;Klarinetstraat 2, Uden;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
H.1;Afdeling Sonata;Kling;BSH 30m;Water;2013;2015;28 l/min;a;;;
H.2;Afdeling Ballade;Kling;BSH 30m;Water;2013;2015;28 l/min;a;;;
B.1;Ketelhuis;Kling;EC 5;CO2;2012;;;a;;;
H.3;Afdeling Duet;Kling;BSH 30m;Water;2013;2015;28 l/min;a;;;
H.4;Afdeling Prelude;Kling;BSH 30m;Water;2013;2015;28 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
