;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Noorderkroon;;Datum:;Week 9 2015;;;;;Blusdekens;;
Adres:;Manis Krijgsmanhof 71, Den Bosch;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
18;Gang kelder lift;Saval;BSH 30 m;Water;2008;2015;36 l/min;a;;;
18A;Gang kelder lift;Saval;B6C;Schuim;2009;;;a;;;
1;Bij werkplaats TD;Saval;BSH 30 m;Water;2008;2015;28 l/min;a;;;
1A;Bij werkplaats TD;Saval;B6C;Schuim;2009;;;a;;;
1B;Bij werkplaats TD;Saval;Ak5;CO2;2009;;;a;;;
2;Parkeerkelder;Saval;BSH 30 m;Water;2008;2015;40 l/min;a;;;
2A;Parkeerkelder;Saval;B6C;Schuim;2009;;;a;;;
2B;Parkeerkelder;BCO;EFS 6;Schuim;2015;;;a;;;
3;Parkeerkelder;Saval;BSH 30 m;Water;2008;2015;40 l/min;a;;;
3A;Parkeerkelder;Saval;B6C;Schuim;2009;;;a;;;
17;Bij kapsalon;Saval;BSH 20 m;Water;2009;2015;44 l/min;a;;;
19;Bij receptie;Saval;BSH 30 m;Water;2008;2015;40 l/min;a;;;
19A;Bij receptie;Saval;B6C;Schuim;2009;;;a;;;
19B;In keuken restaurant;Saval;Ak5;CO2;2009;;;a;;;
4;PG Huiskamer 1;Saval;BSH 30 m;Water;2008;2015;44 l/min;a;;;
4A;PG Huiskamer 1;Saval;B6C;Schuim;2009;;;a;;;
5;PG Huiskamer 2;Saval;BSH 20 m;Water;2008;2015;40 l/min;a;;;
5A;PG Huiskamer 2;Saval;B6C;Schuim;2009;;;a;;;
6;PG Huiskamer 3;Saval;BSH 20 m;Water;2008;2015;40 l/min;a;;;
6A;PG Huiskamer 3;Saval;B6C;Schuim;2009;;;a;;;
7;Woonkamer 1e verdieping;Saval;BSH 30 m;Water;2008;2015;40 l/min;a;;;
7A;Woonkamer 1e verdieping;Saval;B6C;Schuim;2009;;;a;;;
8;Woonkamer 2 op 1e verdieping ;Saval;BSH 20 m;Water;2008;2015;40 l/min;a;;;
8A;Woonkamer 2 op 1e verdieping ;Saval;B6C;Schuim;2009;;;a;;;
9;Woonkamer 3 op 1e verdieping;Saval;BSH 20 m;Water;2008;2015;40 l/min;a;;;
9A;Woonkamer 3 op 1e verdieping;Saval;B6C;Schuim;2009;;;a;;;
16;Gang kantoren 1e verdieping;Saval;BSH 20 m;Water;2009;2015;40 l/min;a;;;
16A;Gang kantoren 1e verdieping;Saval;B6C;Schuim;2009;;;a;;;
21;Gang Cello 1e verdieping bij 131;Saval;BSH 30 m;Water;2008;2015;36 l/min;a;;;
21A;Gang Cello 1e verdieping bij 131;Saval;B6C;Schuim;2009;;;a;;;
20;Bij Cello nr: 139;Saval;BSH 30 m;Water;2008;2015;36 l/min;a;;;
20A;Bij Cello nr: 139;Saval;B6C;Schuim;2009;;;a;;;
10;Gebouw A 2e verdieping;Saval;BSH 30 m;Water;2008;2015;40 l/min;a;;;
10A;Gebouw A 2e verdieping;Saval;B6C;Schuim;2009;;;a;;;
11;Gebouw A 2e verdieping;Saval;BSH 30 m;Water;2008;2015;40 l/min;a;;;
11A;Gebouw A 2e verdieping;Saval;B6C;Schuim;2009;;;a;;;
12;Gebouw A 2e verdieping;Saval;BSH 30 m;Water;2008;2015;36 l/min;a;;;
12A;Gebouw A 2e verdieping;Saval;B6C;Schuim;2009;;;a;;;
22;Gebouw C 2e verdieping;Saval;BSH 30 m;Water;2008;2015;36 l/min;a;;;
22A;Gebouw C 2e verdieping;Saval;B6C;Schuim;2009;;;a;;;
23;Gebouw C 2e verdieping;Saval;BSH 30 m;Water;2008;2015;36 l/min;a;;;
23A;Gebouw C 2e verdieping;Saval;B6C;Schuim;2009;;;a;;;
13;Gebouw A 3e verdieping;Saval;BSH 30 m;Water;2008;2015;40 l/min;a;;;
13A;Gebouw A 3e verdieping;Saval;B6C;Schuim;2009;;;a;;;
14;Gebouw A 3e verdieping;Saval;BSH 20 m;Water;2008;2015;40 l/min;a;;;
14A;Gebouw A 3e verdieping;Saval;B6C;Schuim;2009;;;a;;;
15;Gebouw A 3e verdieping;Saval;BSH 20 m;Water ;2008;2015;40 l/min;a;;;
15A;Gebouw A 3e verdieping;Saval;B6C;Schuim;2009;;;a;;;
16;Gebouw A 3e verdieping Tech. R.;Saval;AK5;CO2;2009;;;a;;;
24;Gebouw C 3e verdieping;Saval;BSH 30 m;Water;2008;2015;36 l/min;a;;;
24A;Gebouw C 3e verdieping;Saval;B6C;Schuim;2009;;;a;;;
24B;Gebouw C 3e verdieping Tech. R.;Saval;Ak5;CO2;2009;;;a;;;
25;Gebouw C 3e verdieping;Saval;BSH 30 m;Water;2008;2015;36 l/min;a;;;
25A;Gebouw C 3e verdieping;Saval;B6C;Schuim;2009;;;a;;;
26;Bij huisnummer 7 op 4e verd.;Saval;BSH 20 m;Water;2009;2015;40 l/min;a;;;
26A;Bij huisnummer 7 op 4e verd.;Saval;B6C;Schuim;2009;;;a;;;
27;Bij huisnummer 17 op 5e verd.;Saval;BSH 20 m;Water;2008;2015;40 l/min;a;;;
27A;Bij huisnummer 17 op 5e verd.;Saval;B6C;Schuim;2009;;;a;;;
28;Bij huisnummer 27 op 6e verd.;Saval;BSH 20 m;Water;2008;2015;36 l/min;a;;;
28A;Bij huisnummer 27 op 6e verd.;Saval;B6C;Schuim;2009;;;a;;;
29;Bij huisnummer 37 op 7e verd.;Saval;BSH 20 m;Water;2008;2015;40 l/min;a;;;
29A;Bij huisnummer 37 op 7e verd.;Saval;B6C;Schuim;2009;;;a;;;
30;Bij huisnummer 47 op 8e verd.;Saval;BSH 30 m;Water;2008;2015;32 l/min;a;;;
30A;Bij huisnummer 47 op 8e verd.;Saval;B6C;Schuim;2009;;;a;;;
31;Bij huisnummer 57 op 9e verd.;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
31A;Bij huisnummer 57 op 9e verd.;Saval;B6C;Schuim;2009;;;a;;;
32;Bij huisnummer 67 op 10e verd.;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
32A;Bij huisnummer 67 op 10e verd.;Saval;B6C;Schuim;2009;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
