;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Brabant Wonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Simeonshof;;Datum:;Week 7 2015;;;;;Blusdekens;;
Adres:;Simeonshof 1a, Erp;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
K.B1;Kelder bij ketelhuis;Simplus;SK5;CO2;2013;;;a;;;
K.B2;Kelder bij ketelhuis;Simplus;UPA-6;Schuim;2013;;;a;;;
K.B3;Kelder villa B;Simplus;K2;CO2;2001;;;a;;;
K.B4;Kelder villa B;Simplus;UPA-6;Schuim;2013;;;a;;;
0.H1;Bij kamer 3;Ajax;BSH 25m;Water;2013;2015;36 l/min;a;;;
0.B1;Bij kamer 3;Simplus;UPA-6R;Schuim;2014;;;a;;;
0.H2;Bij miva toilet;Ajax;BSH 25m;Water;2013;2015;36 l/min;a;;;
0.B2;Bij miva toilet;Simplus;UPA-6;Schuim;2013;;;a;;;
0.H3;Restaurant;Ajax;BSH 25m;Water;2013;2015;32 l/min;a;;;
0.B3;Restaurant;Simplus;UPA-6R;Schuim;2014;;;a;;;
0.B4;Keuken;Simplus;F060;Schuim;2013;;;a;;;
1.H1;Bij kamer 13e ;Ajax;BSH 25m;Water;2013;2015;32 l/min;a;;;
1.B1;Bij kamer 13e ;Simplus;UPA-6R;Schuim;2014;;;a;;;
1.H2;Bij kamer 8e;Ajax;BSH 25m;Water;2013;2015;32 l/min;a;;;
1.B2;Bij kamer 8e;Simplus;UPA-6R;Schuim;2014;;;a;;;
2.H1;Bij kamer 21;Ajax;BSH 25m;Water;2013;2015;32 l/min;a;;;
2.B1;Bij kamer 21;Simplus;UPA-6R;Schuim;2014;;;a;;;
2.H2;Bij kamer 17;Ajax;BSH 25m;Water;2013;2015;30 l/min;a;;;
2.B2;Bij kamer 17;Simplus;UPA-6R;Schuim;2014;;;a;;;
2.H3;Bij kamer 24;Ajax;BSH 25m;Water;2013;2015;32 l/min;a;;;
2.B3;Bij kamer 24;Simplus;upa-6r;Schuim;2014;;;a;;;
3.H1;Bij kamer 32;Ajax;BSH 25m;Water;2012;2015;30 l/min;a;;;
3.B1;Bij kamer 32;Simplus;upa-6r;Schuim;2014;;;a;;;
3.H2;Bij kamer 28;Ajax;BSH 25m;Water;2012;2015;28 l/min;a;;;
3.B2;Bij kamer 28;Simplus;UPA-6R;Schuim;2014;;;a;;;
3.H3;Bij kamer 35;Ajax;BSH 25m;Water;2012;2015;28 l/min;a;;;
3.B3;Bij kamer 35;Simplus;UPA-6R;Schuim;2014;;;a;;;
K.B5;Patchkast;Chubb;EHF 6;Schuim;2003;;;a;;;
K.B6;Patchkast;Chubb;EHF 6;Schuim;2003;;;a;;;
K.B7;Patchkast;Chubb;EHF 6;Schuim;2003;;;a;;;
K.B8;Patchkast;Chubb;EHF 6;Schuim;2003;;;a;;;
K.B9;Patchkast;Simplus;UPA-6;Schuim;2013;;;a;;;
K.B10;Patchkast;Simplus;UPA-6;Schuim;2013;;;a;;;
Villa B;;;;;;;;;;;
VB.H1;Villa B begane grond;Ajax;BSH 25m;Water;2012;2015;40 l/min;a;;;
VB.B1;Villa B begane grond;Simplus;UPA-6;Schuim;2013;;;a;;;
VB.H2;Villa B 1e verdieping;Ajax;BSH 25m;Water;2012;2015;38 l/min;a;;;
VB.B2;Villa B 1e verdieping;Simplus;UPA-6;Schuim;2013;;;a;;;
VB.H3;Villa B 2e verdieping;Ajax;BSH 25m;Water;2013;2015;36 l/min;a;;;
VB.B3;Villa B 2e verdieping;Simplus;UPA-6;Schuim;2013;;;a;;;
Villa C;;;;;;;;;;;
VC.H1;Villa C begane grond;Ajax;BSH 25m;Water;2012;2015;42 l/min;a;;;
VC.B1;Villa C begane grond;Simplus;UPA-6;Schuim;2013;;;a;;;
VC.H2;Villa C 1e verdieping;Ajax;BSH 25m;Water;2012;2015;40 l/min;a;;;
VC.B2;Villa C 1e verdieping;Simplus;UPA-6;Schuim;2013;;;a;;;
VC.H3;Villa C 2e verdieping;Ajax;BSH 25m;Water;2012;2015;38 l/min;a;;;
VC.B3;Villa C 2e verdieping;Simplus;UPA-6;Schuim;2013;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
