;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Sint Antonius;;Datum:;Week 9 2015;;;;;Blusdekens;;
Adres:;Cappelherhof 60 Volkel;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang bij spoelkeuken;Saval;BSH 20 m;Water;1989;2015;28 l/min;a;;;
2;Gang bij 7 BG;Saval;BSH 20 m;Water;1989;2015;36 l/min;a;;;
3;Gang bij 110 1e verd;Saval;BSH 20 m;Water;1989;2015;32 l/min;a;;;
4;Gang bij 107 1e verd;Saval;BSH 20 m;Water;1989;2015;32 l/min;a;;;
5;Gang bij 206 2e verd;Saval;BSH 20 m;Water;1989;2015;32 l/min;a;;;
6;Gang bij 203 2e verd;Saval;BSH 20 m;Water;1989;2015;28 l/min;a;;;
B1;In gang restaurant;Simplus;K5;CO2;2003;;;a;;;
B2;Ketelhuis 1e verdieping;Chubb;EHF 6;Schuim;2002;;;a;;;
B3;Pantry 1e verdieping;Chubb;EHF 6;Schuim;2002;;;a;;;
B4;Pantry 2e verdieping;Chubb;EHF 6;Schuim;2002;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Geen blusser in de keuken aanwezig!;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
