;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Brabant Wonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Sint Jan 1;;Datum:;Week 7 2015;;;;;Blusdekens;;
Adres:;Kerkstraat 80, Uden;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
H.1;Kelder ;Ansul;BSH 20 m;Water;1989;2015;44 l/min;a;;;
B.1;Ketelhuis kelder;Simplus;K5;CO2;2003;;;;;;
H.2;Gang bij rest ;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
B.2;T.D. werkplaats;BCO;EFS 6;Schuim;2015;;;;;;
H.3;Gang bij 0.02 ;Ansul;BSH 20 m;Water;1990;2015;40 l/min;a;;;
B.3;Wasserette;Chubb;EHF 6;Schuim;2002;;;;;;
H.4;Gang bij 0.20 ;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
B.4;Restaurant;Simplus;UPA 6;Schuim;2010;;;;;;
H.5;Gang bij 0.23 ;Ansul;BSH 20 m;Water;1989;2015;48 l/min;a;;;
B.5;In eetzaal;Chubb;EHF 6;Schuim;2002;;;;;;
H.6;Gang bij 0.09 ;Ansul;BSH 20 m;Water;1989;2015;44 l/min;a;;;
B.6;Achter bar;Simplus;K2S;CO2;2012;;;;;;
H.7;Gang bij 0.14 ;Ansul;BSH 20 m;Water;1989;2015;48 l/min;a;;;
B.7;Gang bij lift begane grond;Chubb;EHF 6;Schuim;2002;;;;;;
H.8;Gang PG fysio ;Saval;BSH 20 m;Water;1994;2015;36 l/min;a;;;
B.8;Keuken;Simplus;K5;CO2;2002;;;;;;
H.9;Gang PG bij 115 ;Saval;BSH 20 m;Water;1994;2015;40 l/min;a;;;
B.9;Keuken magazijn;Chubb;EHF 6;Schuim;2002;;;;;;
H.10;Gang PG bij 133 ;Saval;BSH 20 m;Water;1994;2015;40 l/min;a;;;
B.10;Afdeling kantoor OASE;Chubb;EHF 6;Schuim;2002;;;;;;
H.11;Gang PG tweesprong ;Saval;BSH 20 m;Water;1994;2015;36 l/min;a;;;
B.11;Ketelhuis PG 1e verdieping;Chubb;EHF 6;Schuim;2007;;;;;;
H.12;Gang PG bij 202 ;Saval;BSH 20 m;Water;1994;2015;32 l/min;a;;;
B.12;Afdeling kantoor Meerkens;Chubb;EHF 6;Schuim;2002;;;;;;
H.13;Gang PG bij 219 ;Saval;BSH 20 m;Water;1994;2015;32 l/min;a;;;
B.13;Gang 5e verdieping;Chubb;EHF 9;Schuim;2003;;;;;;
H.14;Hal naast lift 5e verd ;Ansul;BSH 20 m;Water;;2015;20 l/min;a;mini haspel;;
B.14;Ketelhuis 5e verdieping;Ansul;Masterlite 5;CO2;2003;;;;;;
H.15;Gang 1e verd kantoren ;Ansul;BSH 20 m;Water;;2015;36 l/min;a;;;
B.15;Gang kantoren 1e verdieping;Simplus;K5;CO2;2008;;;;;;
H.16;Gang bij 103 1e verd ;Ansul;BSH 20 m;Water;1990;2015;40 l/min;a;;;
B.16;Gang 1e verdieping bij lift;Chubb;EHF 6;Schuim;2002;;;;;;
H.17;Gang 1e verd 1.25;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
B.17;Gang 2e verdieping bij lift;Chubb;EHF 6;Schuim;2002;;;;;;
H.18;Gang 1e verd 1.28 ;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
B.18;Gang 3e verdieping bij lift;Chubb;EHF 6;Schuim;2002;;;;;;
H.19;Gang 1e verd 1.12 ;Ansul;BSH 20 m;Water;1989;2015;38 l/min;a;;;
B.19;Gang 4e verdieping bij lift;Chubb;EHF 6;Schuim;2002;;;;;;
H.20;Gang 1e verd 1.17;Ansul;BSH 20 m;Water;1989;2015;38 l/min;a;;;
H.21;Gang 2e verd kantoren ;Ansul;BSH 20 m;Water;;2015;36 l/min;a;;;
H.22;Gang 2e verd 2.03 ;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
H.23;Gang 2e verd 2.25;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
H.24;Gang 2e verd 228;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
H.25;Gang 2e verd 211;Ansul;BSH 20 m;Water;1989;2015;38 l/min;a;;;
H.26;Gang 2e verd 216;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
H.27;Gang 3e verd 427;Ansul;BSH 20 m;Water;;2015;36 l/min;a;;;
H.28;Gang 3e verd 303;Ansul;BSH 20 m;Water;1990;2015;40 l/min;a;;;
H.29;Gang 3e verd 323;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
H.30;Gang 3e verd 312;Ansul;BSH 20 m;Water;1989;2015;40 l/min;a;;;
H.31;Gang 4e verd 403;Ansul;BSH 20 m;Water;1990;2015;32 l/min;a;;;
H.32;Gang 4e verd 420;Ansul;BSH 20 m;Water;1989;2015;36 l/min;a;;;
H.33;Gang 4e verd 411;Ansul;BSH 20 m;Water;1989;2015;36 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;In keuken geen vetblusser aanwezig!;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
