;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;St. Joachim en Anna;;Datum:;Week 5 2015;;;;;Blusdekens;;
Adres:;Hertogin Johannastraat 26, Veghel;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
0-1;gang PG;Ansul;BSH 20 m;water;;2015;44 l/min;a;;;
0-1a;gang PG;Simplus;SLW.6D;schuim;2002;;;a;;;
0-2;recreatie 't Hofke;Ansul;BSH 20 m;water;;2015;40 l/min;a;;;
0-2a;recreatie 't Hofke;Simplus;UPA.6;schuim;2008;;;a;;;
0-3;keuken BG;Ansul;BSH 20 m;water;2000;2015;48 l/min;a;;;
0-3a;keuken BG;BCO;Ewcs 6;wet chemical;2015;;;a;;;
0-4;gang bij winkel;Ansul;BSH 20 m;water;;2015;40 l/min;a;;;
0-4a;gang bij winkel;Simplus;SLW.6D;schuim;2002;;;a;;;
k-1;kelder;Ansul;BSH 20 m;water;;2015;44 l/min;a;;;
k-1a;bij wasserij;Simplus;UPA.6;schuim;2008;;;a;;;
1-1;gang bij kamer 108;Ansul;BSH 20 m;water;;2015;32 l/min;a;;;
1-1a;gang bij kamer 108;Simplus;SLW.6D;schuim;2002;;;a;;;
1-2;gang personeelsruimte;Ansul;BSH 20 m;water;;2015;40 l/min;a;;;
1-2a;gang personeelsruimte;IBS;K5;co2;1997;;;a;;;
1-3;gang bij kamer 120;Ansul;BSH 20 m;water;;2015;40 l/min;a;;;
1-3a;gang bij kamer 120;Simplus;SLW.6D;schuim;2002;;;a;;;
2-1;gang bij kamer 208;Ansul;BSH 20 m;water;;2015;32 l/min;a;;;
2-1a;gang bij kamer 208;Simplus;SLW.6D;schuim;2002;;;a;;;
2-2;gang bij het prieeltje;Ansul;BSH 20 m;water;;2015;38 l/min;a;;;
2-2a;gang bij het prieeltje;IBS;K5;co2;1992;;;a;;;
2-2b;bij ketelhuis;Ansul;Masterlite 5;co2;2004;;;a;Reserveren;;
2-3;gang bij kamer 222;Ansul;BSH 20 m;water;;2015;36 l/min;a;;;
2-3a;gang bij kamer 222;Jockel;S6LJ;schuim;2003;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
