;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Brabant Wonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Sint Petrus;;Datum:;Week 7 2015;;;;;Blusdekens;;
Adres:;Burgtstraat 34, Boekel;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-1;Restaurant;Noha;BSH 20 m;water;2006;2015;40 l/min;a;;;
B 0-1a;Restaurant;Simplus;SWG-06;schuim;2007;;;a;;;
B 0-1b;Bar restaurant;BCO;EWCS 6;wet chemical;2013;;;a;;;
0-2;Winkel - biljart;Noha;BSH 20 m;water;2006;2015;52 l/min;a;;;
B 0-2a;Spoelkeuken;Simplus;K5;CO2;2007;;;a;;;
B 0-2b;Bij kantoor keuken;Chubb;EHF-6;schuim;2002;;;a;;;
B 0-2c;Achter receptie;Simplus;K5;CO2;2006;;;a;;;
0-3;Gang bij receptie;Noha;BSH 20 m;water;2005;2015;44 l/min;a;;;
B 0-3a;Gang bij personeelsruimte;Gloria;S6bio;schuim;2003;;;a;;;
0-4;Gang bij vriendenhuis;Noha;BSH 20 m;water;2005;2015;48 l/min;a;;;
B 0-4a;Gang bij vriendenhuis;Simplus;K5;CO2;2002;;;a;;;
0-5;Gang bij brievenbussen;Noha;BSH 20 m;water;2005;2015;40 l/min;a;;;
B 0-5a;De kern;Simplus;K5;CO2;2006;;;a;;;
0-6;Gang bij fitness;Noha;BSH 20 m;water;2005;2015;40 l/min;a;;;
B 0-6a;Gang bij fitness;Simplus;S6;schuim;2011;;;a;;;
B 0-6b;Fitness ruimte;Simplus;K5;CO2;2002;;;a;;;
0-7;Gang PG;Noha;BSH 20 m;water;2005;2015;44 l/min;a;;;
B 0-7a;D'n Bongerd P.G.;Simplus;SWG-06;schuim;2007;;;a;;;
1-1;Gang bij 1.22;Noha;BSH 20 m;water;2006;2015;48 l/min;a;;;
B 1-1a;Bij kamer 1.22;Simplus;SWG-06;schuim;2007;;;a;;;
1-2;Gang bij 1.18;Noha;BSH 20 m;water;2005;2015;44 l/min;a;;;
B 1-2a;Bij huiskamer A1.19;Simplus;K5;CO2;2007;;;a;;;
1-3;Gang bij 1.16;Noha;BSH 20 m;water;2005;2015;44 l/min;a;;;
B 1-3a;Bij kamer 1.16;Simplus;SWG-06;schuim;2006;;;a;;;
1-4;Gang bij 1.12;Noha;BSH 20 m;water;2005;2015;48 l/min;a;;;
B 1-4a;Bij kamer 1.12;Simplus;SWG-06;schuim;2006;;;a;;;
1-5;Gang bij 1.06;Noha;BSH 20 m;water;2005;2015;44 l/min;a;;;
2-1;Gang bij 2.23;Noha;BSH 20 m;water;2006;2015;48 l/min;a;;;
B 2-1a;Bij kamer 2.23;Simplus;SWG-06;schuim;2007;;;;;;
2-2;Gang bij 2.19;Noha;BSH 20 m;water;2005;2015;48 l/min;a;;;
B 2-2a;Bij huiskamer 2;Simplus;K5;CO2;2006;;;;;;
2-3;Gang bij 2.16;Noha;BSH 20 m;water;2005;2015;44 l/min;a;;;
B 2-3a;Bij kamer 2.16;Simplus;SWG-06;schuim;2006;;;;;;
2-4;Gang bij 2.12;Noha;BSH 20 m;water;2005;2015;48 l/min;a;;;
B 2-4a;Bij kamer 2.12;Simplus;SWG-06;schuim;2006;;;;;;
2-5;Gang bij 2.06;Noha;BSH 20 m;water;2005;2015;46 l/min;a;;;
B 3-1a;Bij ketelhuis;Simplus;K5;CO2;2006;;;a;;;
B 3-1b;Bij zolder;Chubb;EHF-6;schuim;2002;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
