;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;De Watersteeg;;Datum:;Week 6 2015;;;;;Blusdekens;;
Adres:;Reigerdonk 37, Veghel;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
H.47;restaurant bij kassa;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.47a;bij buffer restaurant;Simplus;UPA-6;Schuim;2008;;;a;;;
H.1;achter receptie;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.1a;achter receptie;Simplus;UPA-6;Schuim;2008;;;a;;;
B.1b;receptie;Simplus;MC-2a;Co2;2003;;;a;;;
H.2;gang bij winkel;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.2a;naast winkel;Simplus;UPA-6;Schuim;2008;;;a;;;
H.48;gang bij TD;Saval;BSH 25 m;Water;2009;2015;34 l/min;a;;;
B.48a;achter keuken;Simplus;UPA-6;Schuim;2008;;;a;;;
B.48b;keuken;Simplus;K5;Co2;2009;;;a;;;
B.48d;T.D. werkplaats;Simplus;SLW-6D;Schuim;2001;;;a;;;
B.48e;wasserette;Simplus;UPA-6;Schuim;2008;;;a;;;
B.48f;wasserette;Simplus;K5;Co2;2003;;;a;;;
B.48g;container ruimte;Simplus;PA.6;Poeder;2008;;;a;;;
B.48h;elektro ruimte;Ansul;Master C5;Co2;2001;;;a;;;
H.3;gang bij houtwal 1;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.3a;gang bij houtwal 1;Simplus;UPA-6;Schuim;2008;;;a;;;
H.35;gang bij 5004 HW;Saval;BSH 20 m;Water;2009;2015;28 l/min;a;;;
B.35a;houtwal 1;Simplus;UPA-6;Schuim;2008;;;a;;;
H.36;gang bij 5012 HW;Saval;BSH 20 m;Water;2009;2015;30 l/min;a;;;
B.36a;houtwal 3;Simplus;UPA-6;Schuim;2008;;;a;;;
H.38;gang bij 4004 HW;Saval;BSH 20 m;Water;2009;2015;36 l/min;a;;;
B.38a;houtwal 2;Simplus;UPA-6;Schuim;2008;;;a;;;
H.37;gang bij 4012 HW;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.37a;houtwal 4;Simplus;UPA-6;Schuim;2008;;;a;;;
H.39;gang bij houtwal 4;Saval;BSH 20 m;Water;2009;2015;36 l/min;a;;;
B.39a;gang houtwal 4;Simplus;UPA-6;Schuim;2008;;;a;;;
H.40;gang t.o. houtwal 6;Saval;BSH 25 m;Water;2009;2015;36 l/min;a;;;
B.40a;gang t.o. houtwal 6;Simplus;MF-60;Schuim;2008;;;a;;;
H.41;hal revalidatie;Saval;BSH 20 m;Water;2007;;;a;;;
B.41a;hal revalidatie;Simplus;SLW-6D;Schuim;2001;;;a;;;
H.46;gang bij 6004 HW;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
H.45;gang bij 6012 HW;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
H.42;gang revalidatie BG;Saval;BSH 20 m;Water;2008;2015;40 l/min;a;;;
B.42a;gang revalidatie BG;Simplus;SLW-6D;Schuim;2001;;;a;;;
H.43;gang bij 7.0.11 rev;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
B.43a;bij kamer 7.0.11;Simplus;SLW-6D;Schuim;2001;;;a;;;
H.44;gang bij 7.0.03 rev;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
B.44a;bij kamer 7.0.03;Simplus;SLW-6D;Schuim;2008;;;a;;;
H.4;gang bij 1.1.13 1e verd;Saval;BSH 20 m;Water;2009;2015;26 l/min;a;;;
B.4a;bij kantoor 1.1.13;Simplus;UPA-6;Schuim;2008;;;a;;;
H.5;gang bij 1.1.04 1e verd;Saval;BSH 20 m;Water;2009;2015;28 l/min;a;;;
B.5a;bij kantoor 1.1.04;Simplus;UPA-6;Schuim;2008;;;a;;;
H.6;gang huiskamer 't ven;Saval;BSH 20 m;Water;2009;2015;28 l/min;a;;;
B.6a;bij huiskamer 't ven;Simplus;UPA-6;Schuim;2008;;;a;;;
H.7;gang bij 2.1.15;Saval;BSH 20 m;Water;2009;2015;38 l/min;a;;;
B.7a;gang bij opslag;Simplus;SLW-6D;Schuim;2002;;;a;;;
B.7b;data ruimte;A.G.O.;C2-s24;Co2;1999;;;a;;;
B.7c;ketelhuis;Simplus;K5;Co2;2005;;;a;Reverseren 2015;;
B.7d;ketelhuis;Simplus;UPA-6;Schuim;2013;;;a;;;
B.7e;ketelhuis;Simplus;K5;Co2;2003;;;a;;;
B.7f;reserve 2.1.12a;Simplus;UPA-6;Schuim;2013;;;a;;;
B.7g;reserve 2.1.12a;Simplus;UPA-6;Schuim;2013;;;a;;;
B.7h;reserve 2.1.12a;A.G.O.;S6;Schuim;2011;;;a;;;
H.22;gang 1e verd bij fysio;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.22a;gang 1e verd bij fysio;Simplus;UPA-6;Schuim;2008;;;a;;;
H.23;bij oefenzaal fysio;Saval;BSH 20 m;Water;2009;2015;28 l/min;a;;;
B.23a;gang fysio 5.1.05;Simplus;UPA-6;Schuim;2008;;;a;;;
B.23b;dakopbouw fysio;Simplus;K5;Co2;2009;;;a;;;
H.24;bij ruimte 5.1.16;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.24a;kantoren fysio;Simplus;UPA-6;Schuim;2008;;;a;;;
B.24b;dakopbouw kantoren;Simplus;K5;Co2;2009;;;a;;;
H.26;1e verd boomgaard 2;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.26a;boomgaard 2;Simplus;UPA-6;Schuim;2008;;;a;;;
H.25;1e verd boomgaard 4;Saval;BSH 20 m;Water;2009;2015;30 l/min;a;;;
B.25a;boomgaard 4;Simplus;UPA-6;Schuim;2008;;;a;;;
H.27;gang bij boomgaard 4;Saval;BSH 20 m;Water;2009;2015;36 l/min;a;;;
B.27a;gang bij boomgaard 4;Simplus;UPA-6;Schuim;2008;;;a;;;
H.28;bij ingang boomgaard 6;Saval;BSH 20 m;Water;2008;2015;36 l/min;a;;;
B.28a;gang bij boomgaard 6;Simplus;UPA-6;Schuim;2008;;;a;;;
H.34;1e verd boomgaard 6;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
B.34a;boomgaard 6;Simplus;MF-60;Schuim;2008;;;a;;;
H.33;1e verd boomgaard 8;Saval;BSH 20 m;Water;2008;2015;30 l/min;a;;;
B.33a;boomgaard 8;Simplus;MF-60;Schuim;2008;;;a;;;
H.29;bij lift 1e verd rev;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
H.30;gang revalidatie 1e verd;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
B.30a;gang 1e verd revalidatie;Simplus;MF-60;Schuim;2008;;;a;;;
H.31;bij 7.1.03 rev 1e verd;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
B.31a;bij 7.1.03 revalidatie;Simplus;SLW-6D;Schuim;2008;;;a;;;
H.32;bij 7.1.11 rev 1e verd;Saval;BSH 20 m;Water;2008;2015;30 l/min;a;;;
B.32a;bij 7.1.11 revalidatie;Simplus;MF-60;Schuim;2008;;;a;;;
H.11;afd opleidingen 2e verd;Saval;BSH 20 m;Water;2009;2015;28 l/min;a;;;
B.11a;gang opleidingen;Simplus;UPA-6;Schuim;2008;;;a;;;
H.10;gang 2e verd;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.10a;gang bij kantoren;Simplus;SLW-6D;Schuim;2002;;;a;;;
H.12;gang 2e verd VV2;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.12a;gang bij vogelven 2;Simplus;SLW-6D;Schuim;2001;;;a;;;
H.13;gang bij 4.2.04 VV2;Saval;BSH 20 m;Water;2009;2015;30 l/min;a;;;
B.13a;vogelven 2;Simplus;UPA-6;Schuim;2008;;;a;;;
B.13b;dakopbouw vogelven 2;Simplus;K5;Co2;2009;;;a;;;
H.15;gang bij 4.2.12 VV4;Saval;BSH 20 m;Water;2009;2015;30 l/min;a;;;
B.15a;vogelven 4;Simplus;UPA-6;Schuim;2008;;;a;;;
B.15b;dakopbouw vogelven 4;Simplus;K5;Co2;2009;;;a;;;
H.14;gang 2e verd VV4;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.14a;gang bij vogelven 4;Simplus;UPA-6;Schuim;2008;;;a;;;
H.15.1;gang 2e verd VV6;Saval;BSH 25 m;Water;2008;2015;30 l/min;a;;;
B.15.1a;gang t.o. vogelven 6;Simplus;SLW-6D;Schuim;2008;;;a;;;
H.21;gang bij 6.2.04 VV6;Saval;BSH 20 m;Water;2008;2015;28 l/min;a;;;
B.21a;vogelven 6;Simplus;MF-60;Schuim;2008;;;a;;;
H.20;gang bij 6.2.12 VV8;Saval;BSH 25 m;Water;2008;2015;28 l/min;a;;;
B.20a;vogelven 8;Simplus;MF-60;Schuim;2008;;;a;;;
B.20b;dakopbouw vogelven 8;Simplus;K5;Co2;2009;;;a;;;
H.16;bij lift revalidatie 2e verd;Saval;BSH 20 m;Water;2008;2015;28 l/min;a;;;
B.16a;gang revalidatie 2;Simplus;MF-60;Schuim;2008;;;a;;;
H.17;gang 2e verd revalidatie;Saval;BSH 20 m;Water;2008;2015;32 l/min;a;;;
B.17a;gang 2e verd revalidatie;Simplus;MF-60;Schuim;2008;;;a;;;
H.18;bij 7203 revalidatie;Saval;BSH 25 m;Water;2008;2015;28 l/min;a;;;
B.18a;bij kamer 7.2.03;Simplus;SLW-6D;Schuim;2008;;;a;;;
B.18b;dakopbouw revalidatie 2;Simplus;K5;Co2;2009;;;a;;;
H.19;bij 7211 revalidatie;Saval;BSH 20 m;Water;2008;2015;30 l/min;a;;;
B.19a;bij kamer 7.2.11;Simplus;SLW-6D;Schuim;2008;;;a;;;
B.19b;dakopbouw vogelven 6;Simplus;K5;Co2;2003;;;a;;;
H.8;kantoren 2e verd;Saval;BSH 20 m;Water;2009;2015;36 l/min;a;;;
B.8a;gang kantoren 2e verd;Simplus;SLW-6D;Schuim;2002;;;a;;;
H.9;kantoren 2e verd;Saval;BSH 20 m;Water;2009;2015;32 l/min;a;;;
B.9a;gang kantoren 2e verd;Simplus;SLW-6D;Schuim;2002;;;a;;;
H.2-2;brug naar hoofdkantoor;Saval;BSH 20 m;Water;2006;2015;36 l/min;a;;;
H.2-1;gang bij 302 2e verd;Saval;BSH 20 m;Water;2004;2015;36 l/min;a;;;
B.2-1a;2e verd de donk;Simplus;K5;Co2;2004;;;a;Reverseren;;
H.1-1;gang bij 206 1e verd;Saval;BSH 20 m;Water;2004;2015;36 l/min;a;;;
B.1-1a;1e verd de donk;Simplus;K5;Co2;2004;;;a;Reverseren;;
H.0-1;gang bij 1.7 dagbehandeling;Saval;BSH 20 m;Water;2004;2015;36 l/min;a;;;
B.0-1a;dagbehandeling;Saval;AK2;Co2;2002;;;a;;;
B.3-1a;3e verd bij ketelhuis;Simplus;MC-5a;Co2;2002;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;BA klep is verwijderd door Immens.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
