;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;WZC het Zonnelied;;Datum:;Week 10 2015;;;;;Blusdekens;;
Adres:;Hogesteeg 2 Ammerzoden;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-1;Wetering nr 3;Saval;BSH 20m;Water;1988;2015;36 l/min;a;;;
0-1 A;Wetering nr 3;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
0-2;Wetering nabij 18;Ajax;BSH 20m;Water;1998;2015;44 l/min;a;;;
0-3;Wetering nabij 22;Ajax;BSH 20m;Water;1992;2015;40 l/min;a;;;
0-4;Restaurant;Saval;BSH 20m;Water;2007;2015;40 l/min;a;;;
0-4 A;Restaurant;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
0-4 B;Keuken;Simplus;K5;CO2;2009;;;a;;;
0-8;Wagenstalling keuken;Saval;BSH 20m;Water;2007;2015;52 l/min;a;;;
0-8 A;Wagenstalling keuken;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
1-4;Kantoren 1e verdieping;Saval;BSH 20m;Water;2007;2015;44 l/min;a;;;
1-4 A;Kantoren 1e verdieping;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
K1;Kelder oudbouw;BCO;EFS6;Schuim;2015;;;a;;;
0-5;Wasserette gang;Ajax;BSH 20m;Water;1998;2015;44 l/min;a;;;
0-5 A;Wasserette gang;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
0-5 B;In wasserette;Jockel;KS5J;CO2;2004;;;a;;;
0-6 ;Passage gang;Ajax;BSH 25m;Water;1998;2015;44 l/min;a;;;
0-7;Passage gang;Saval;BSH 20m;Water;1988;2015;44 l/min;a;;;
1-1;Merwedehof gang;Ajax;BSH 25m;Water;1998;2015;40 l/min;a;;;
1-2;Merwedehof gang;Ajax;BSH 20m;Water;1988;2015;48 l/min;a;;;
1-2a;Zolder Merwedehof;BCO;EFS6;Schuim;2013;;;;;;
1-3;Merwedehof gang;Saval;BSH 20m;Water;1988;2015;52 l/min;a;;;
5;Maasstraat gang;Saval;BSH 20m;Water;2009;2015;48 l/min;a;;;
5A;Maasstraat gang;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
7;Maasstraat 28;Saval;BSH 20m;Water;2009;2015;46 l/min;a;;;
7A;Maasstraat 28;BCO;EFS6;Schuim AFFF;2015;;;a;;;
6;Maasstraat 31;Saval;BSH 20m;Water;2009;2015;48 l/min;a;;;
6A;Maasstraat 31;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
8;Maasstraat gang;Saval;BSH 20m;Water;2009;2015;44 l/min;a;;;
8A;Maasstraat gang;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
9;Maasstraat gang;Saval;BSH 20m;Water;2009;2015;48 l/min;a;;;
9A;Maasstraat gang;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
10;Maasstraat 10;Saval;BSH 20m;Water;2009;2015;44 l/min;a;;;
10A;Maasstraat 10;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
11;Maasstraat 13;Saval;BSH 20m;Water;2009;2015;44 l/min;a;;;
11A;Maasstraat 13;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
12;Waalstraat gang;Saval;BSH 20m;Water;2009;2015;44 l/min;a;;;
12A;Waalstraat gang;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
13;Waalstraat 131;Saval;BSH 20m;Water;2009;2015;44 l/min;a;;;
13A;Waalstraat 131;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
14;Waalstraat 132;Saval;BSH 20m;Water;2009;2015;46 l/min;a;;;
14A;Waalstraat 132;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
15;Waalstraat gang;Saval;BSH 20m;Water;2009;2015;44 l/min;a;;;
15A;Waalstraat gang;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
16;Waalstraat gang;Saval;BSH 20m;Water;2009;2015;46 l/min;a;;;
16A;Waalstraat gang;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
17;Waalstraat 113;Saval;BSH 20m;Water;2009;2015;48 l/min;a;;;
17A;Waalstraat 114;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
18;Waalstraat 114;Saval;BSH 20m;Water;2009;2015;44 l/min;a;;;
18A;Waalstraat 114;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
19;Verdieping 2 gang;Saval;BSH 20m;Water;2009;2015;40 l/min;a;;;
19A;Verdieping 2 gang;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
20;Verdieping 2 Werkplaats TD;Simplus;UPA-6;Schuim AFFF;2010;;;a;;;
21;Verdieping 2 gang;Simplus;K5;Kooldioxide;2009;;;a;;;
22;Verdieping 2 gang;Simplus;K5;Kooldioxide;2009;;;a;;;
23;´t Kempke;BCO;EFS6;Schuim;2013;;;a;;;
24;´t Kempke;BCO;EFS6;Schuim;2013;;;a;;;
25;Reserve magazijn;Simplus;UPA-6;Schuim;2010;;;a;;;
26;Reserve magazijn;Simplus;UPA-6;Schuim;2010;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
