;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;De Heegt;;Datum:;week 16 2015;;;;;Blusdekens;;
Adres:;Veldstraat 1, Geffen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-1;Bij kamer 11;Ajax;BSH 20 m;Water;;2015;36 l/min;a;;;
0-2;Bij receptie;Ajax;BSH 20 m;Water;;2015;32 l/min;a;;;
0-2a;Bij receptie;BCO;EFS6;Schuim;2013;;;a;;;
0-2b;In restaurant;BCO;EFS6;Schuim;2013;;;a;;;
0-3;Bij spoelkeuken gang;Ajax;BSH 20 m;Water;;2015;36 l/min;a;;;
0-3a;In spoelkeuken;BCO;EC5;CO2;2013;;;a;;;
0-4;Bij recreatie ruimte;Ajax;BSH 20 m;Water;;2015;36 l/min;a;;;
0-4a;Bij bar recreatie ruimte;Smeba;MF - 60;Schuim;2012;;;a;;;
1-1;Bij kamer 26;Ajax;BSH 20 m;Water;;2015;32 l/min;a;;;
1-2;Bij kamer 18;Ajax;BSH 20 m;Water;;2015;32 l/min;a;;;
Z-1;Zolder bij ketelhuis;BCO;EFS 9;Schuim;2015;;;a;;;
Z-2;Zolder berging;BCO;EFS 9;Schuim;2015;;;a;;;
Z-3;Zolder bij T.D. ;BCO;EFS 9;Schuim;2015;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
