;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;De Wellen fase 2-3;;Datum:;Week 13 2015;;;;;Blusdekens;;
Adres:;Driek van Erpstraat 2, Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
k-1;Kelder fase 2;Saval;BSH 20m;Water;2010;2015;36 l/min;a;;;
k-2;Parkeerkelder t.st.;Simplus;UPA6;Schuim;2012;;;a;;;
1-1;Bij kamer 20B;Saval;BSH 20m;Water;2010;2015;36 l/min;a;;;
1-2;Bij kamer 20B;Saval;M6P SC;Schuim;1996;;;a;;;
1-3;Bij kamer 20G;Saval;BSH 20m;Water;2010;2015;36 l/min;a;;;
1-4;Bij kamer 20G;Kling;EFS 6;Schuim;2011;;;a;;;
0-1;Bij kamer 18C;Saval;BSH 20m;Water;2010;2015;36 l/min;a;;;
0-1a;Bij kamer 18C;BCO;EFS 6;Schuim;2015;;;;;;
2-1;Bij kamer 22B;Saval;BSH 20m;Water;2010;2015;36 l/min;a;;;
2-2;Bij kamer 22B;BCO;EFS 6;Schuim;2013;;;a;;;
2-3;Bij kamer 22G;Saval;BSH 20m;Water;2010;2015;36 l/min;a;;;
2-4;Bij kamer 22G;Kling;EFS 6;Schuim;2011;;;a;;;
3-1;Bij kamer 22K;Saval;BSH 20m;Water;2010;2015;34 l/min;a;;;
3-2;Bij kamer 22K;BCO;EFS 6;Schuim;2013;;;a;;;
3-3;Bij kamer 22R;Saval;BSH 20m;Water;2010;2015;36 l/min;a;;;
3-4;Bij kamer 22R;Kling;EFS 6;Schuim;2011;;;a;;;
0-2;Bij ingang seasons;Saval;BSH 30m;Water;2011;2015;36 l/min;a;;;
0-3;Bij ingang seasons;Simplus;UPA6;Schuim;2011;;;a;;;
0-4;Bij winkel;Saval;BSH 20m;Water;2010;;;a;;;
0-5;Bij winkel;BCO;EFS 6;Schuim;2013;;;a;;;
0-6;Bij kamer 24B;Saval;BSH 25m;Water;2011;2015;52 l/min;a;;;
0-7;In woning 1;Simplus;UPA6;Schuim;2011;;;a;;;
0-8;In woning 1;Saval;BSH 25m;Water;2011;2015;48 l/min;a;;;
0-9;In woning 2;Saval;BSH 25m;Water;2011;2015;48 l/min;a;;;
0-10;In woning 2;Simplus;UPA6;Schuim;2012;;;a;;;
0-11;In woning 3;Saval;BSH 25m;Water;2011;2015;46 l/min;a;;;
0-12;In traphuis woning 3;Simplus;UPA6;Schuim;2012;;;a;;;
1-5;Bij kamer 26B;Saval;BSH 25m;Water;2012;2015;44 l/min;a;;;
1-6;In woning 4;Saval;BSH 25m;Water;2011;2015;48 l/min;a;;;
1-7;In woning 4;Simplus;UPA6;Schuim;2012;;;a;;;
1-8;In woning 5;Saval;BSH 25m;Water;2011;2015;46 l/min;a;;;
1-9;In woning 5;Simplus;UPA6;Schuim;2012;;;a;;;
1-10;In woning 6;Saval;BSH 25m;Water;2011;2015;46 l/min;a;;;
1-11;In woning 6;Simplus;UPA6;Schuim;2012;;;a;;;
2-5;Bij woning 28B;Saval;BSH 25m;Water;2011;2015;44 l/min;a;;;
2-6;Bij woning 38D;Saval;BSH 25m;Water;2011;2015;44 l/min;a;;;
2-7;Bij woning 38A;Simplus;UPA6;Schuim;2012;;;a;;;
2-8;Bij woning 46C;Saval;BSH 25m;Water;2011;2015;44 l/min;a;;;
2-9;Bij woning 46C;Simplus;UPA6;Schuim;2012;;;a;;;
2-10;In woning 7;Saval;BSH 25m;Water;2011;2015;48 l/min;a;;;
2-11;In woning 7;Simplus;UPA6;Schuim;2012;;;a;;;
3-5;In woning 8;Saval;BSH 25m;Water;2011;2015;46 l/min;a;;;
3-6;In woning 8;Simplus;UPA6;Schuim;2012;;;a;;;
4-1;Technische ruimte 4e verd;Kling;EFS 6;Schuim;2011;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
