;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Brabant Wonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Dijkstaete;;Datum:;4-15-2015;;;;;Blusdekens;;
Adres:;Dokter Langendijklaan 4, Schaijk;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
Dagbehandling ons Stekkie:;;;;;;;;;;;
1;Hal DB 01;Uro Flame;BSH 25 m;water;2014;2015;26 l/min;a;;;
2;Hal DB 01;Saval;B6P SC;schuim;2011;;;a;;;
3;gang DB 15;Ajax;BSH 25 m;water;onbekend;2015;28 l/min;a;;;
4;trappenhal DB 16;Saval;B6P SC;schuim;2011;;;a;;;
5;gang DB 16 1e verd;Ajax;BSH 25 m;water;onbekend;2015;28 l/min;a;;;
6;gang DB 16 1e verd;Saval;B6P SC;schuim;2011;;;a;;;
Dijkstaete Schaijk:;;;;;;;;;;;
10;gang LD 02;Uro Flame;BSH 25 m;water;2014;2015;36 l/min;a;;;
11;gang LD 02;BCO;EFS 6;schuim;2013;;;a;;;
12;keuken LD 01;BCO;EFS 6;schuim;2015;;;a;;;
13;gang BD 02;Ajax;BSH 25 m;water;onbekend;2015;40 l/min;a;;;
14;gang BD 02;BCO;EFS 6;schuim;2013;;;a;;;
15;keuken BD 01;BCO;EFS 6;schuim;2015;;;a;;;
16;gang HD 02;Gloria;BSH 25 m;water;onbekend;2015;32 l/min;a;;;
17;gang HD 02;BCO ;EFS 6;schuim;2013;;;a;;;
18;keuken HD 01;BCO;EFS 6;schuim;2015;;;a;;;
19;hal ketelhuis 2e verd;Saval;AK5;CO2;2011;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
