;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Brabant Wonen;;Naam monteur:;J. Verhagen;;;;;Slangenhaspels-water;;
Locatie:;De Duinsche Hoeve;;Datum:;6-1-2015;;;;;Blusdekens;;
Adres:;Vliertwijksestraat 65, Rosmalen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Gang bij kamer J;Ajax;BSH 20 m;Water;2010;2015;32 l/min;a;;;
1a;Gang bij kamer J;Ajax;ES6;Schuim;2011;;;a;;;
2;Gang bij kamer E;Ajax;BSH 20 m;Water;2010;2015;32 l/min;a;;;
2a;Gang bij kamer E;Ajax;ES6;Schuim;2011;;;a;;;
3;Ketelhuis BG;Ajax;ES6;Schuim;2011;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
