;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;John Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;ZC Laarstede;;Datum:;Week 14, 2015;;;;;Blusdekens;;
Adres:;Laar 40, Nistelrode;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;PG nr: 19;Saval;AK 5;CO2;2010;;;a;;;
2;Gang PG begane grond;Kling;B.S.H. 20m;Water;2010;2015;44 l/min;a;;;
3;Gang PG begane grond;Kling;S6LJ;Schuim;2009;;;a;;;
4;PG nr: 17;Saval;AK 5;CO2;2010;;;a;;;
5;PG nr: 23;Saval;AK 5;CO2;2009;;;a;;;
6;Gang PG 1e verdieping;Kling;B.S.H. 20m;Water;2010;2015;42 l/min;a;;;
7;Gang PG 1e verdieping;Kling;S6LJ bio;Schuim;2009;;;a;;;
8;PG nr: 21;Saval;AK 5;CO2;2010;;;a;;;
9;Bij kamer 40 c;Kling;B.S.H. 20m;Water;2010;2015;36 l/min;a;;;
10;Bij kamer 40 c;Kling;S6LJ bio;Schuim;2009;;;a;;;
11;In gang keuken;Kling;B.S.H. 20m;Water;2010;2015;44 l/min;a;;;
12;In gang keuken;Kling;S6LJ bio;Schuim;2009;;;a;;;
13;In keuken;Saval;AK 5;CO2;2010;;;a;;;
14;In restaurant;Kling;B.S.H. 20m;Water;2010;2015;44 l/min;a;;;
15;In restaurant;Kling;S6LJ bio;Schuim;2009;;;a;;;
16;In H.K. Ons Stekkie;Saval;AK 5;CO2;2010;;;a;;;
17;In onspanning r. Ons Stekkie;Saval;AK 5;CO2;2010;;;a;;;
18;Bij kamer 42 c;Kling;B.S.H. 20m;Water;2010;2015;44 l/min;a;;;
19;Bij kamer 42 c;Kling;S6LJ bio;Schuim;2009;;;a;;;
20;Dichterbij begane grond;Kling;B.S.H. 20m;Water;2010;2015;42 l/min;a;;;
21;Dichterbij begane grond;Kling;S6LJ bio;Schuim;2009;;;a;;;
22;Bij kamer 40 f;Kling;B.S.H. 20m;Water;2010;2015;40 l/min;a;;;
23;Bij kamer 40 f;Kling;S6LJ bio;Schuim;2009;;;a;;;
24;Bij verpleegpost 1e verdieping;Kling;B.S.H. 20m;Water;2010;2015;40 l/min;a;;;
25;Bij verpleegpost 1e verdieping;Kling;S6LJ bio;Schuim;2009;;;a;;;
26;Bij kamer 44 b;Kling;B.S.H. 20m;Water;2010;2015;40 l/min;a;;;
27;Bij kamer 44 b;Kling;S6LJ bio;Schuim;2009;;;a;;;
28;Bij kamer 44 f;Kling;B.S.H. 20m;Water;2010;2015;40 l/min;a;;;
29;Bij kamer 44 f;Kling;S6LJ bio;Schuim;2009;;;a;;;
30;Bij kamer 40 k;Kling;B.S.H. 20m;Water;2010;2015;40 l/min;a;;;
31;Bij kamer 40 k;Kling;S6LJ bio;Schuim;2009;;;a;;;
32;Bij kapel 2e verdieping;Kling;B.S.H. 20m;Water;2010;2015;40 l/min;a;;;
33;Bij kapel 2e verdieping;Kling;S6LJ bio;Schuim;2009;;;a;;;
34;Ketelhuis 2e verdieping;Saval;AK 5;CO2;2010;;;a;;;
35;Bij kamer 46 b;Kling;B.S.H. 20m;Water;2010;2015;40 l/min;a;;;
36;Bij kamer 46 b;Kling;S6LJ bio;Schuim;2009;;;a;;;
37;Bij kamer 46 f;Kling;B.S.H. 20m;Water;2010;2015;40 l/min;a;;;
38;Bij kamer 46 f;Kling;S6LJ bio;Schuim;2009;;;a;;;
39;Computer ruimte;Saval;AK5;CO2;2010;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Geen Vetblusser aanwezig in keuken.;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
