;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;John Nederkoorn;;;;;Slangenhaspels-Water;;
Locatie:;Maashorst ;;Datum:;4-9-2015;;;;;Blusdekens;;
Adres:;Kerklaan 1, Megen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-1;Bij keuken;Saval;BSH 20 m;Water;1997;2015;36 l/min;a;;;
0-1a;Bij keuken;Jockel;K5J;CO2;2015;;;a;;;
0-1b;Bij bar restaurant;BCO;EFS 6;Schuim;2015;;;a;;;
0-2;Bij kamer 3 a.w.;Saval;BSH 20 m;Water;1997;2015;36 l/min;a;;;
0-3;Bij kamer: 9 a.w.;Saval;BSH 20 m;Water;1997;2015;36 l/min;a;;;
0-4;Bij kamer: 1 zorg;Saval;BSH 20 m;Water;;2015;36 l/min;a;;;
0-5;Bij kamer: 8 zorg;Saval;BSH 20 m;Water;;2015;36 l/min;a;;;
1-1;Bij personeelskantine;Saval;BSH 20 m;Water;1997;2015;32 l/min;a;;;
1-1a;Bij personeelsruimte;BCO;EFS 6;Schuim;2015;;;a;;;
1-2;Bij kamer: 17 a.w. 1e verdieping;Saval;BSH 20 m;Water;1997;2015;36 l/min;a;;;
1-3;Bij kamer: 23 a.w. 1e verdieping;Saval;BSH 20 m;Water;1997;2015;32 l/min;a;;;
1-4;Bij kamer: 9 zorg;Saval;BSH 20 m;Water;;2015;36 l/min;a;;;
1-5;Bij kamer: 16 zorg;Saval;BSH 20 m;Water;;2015;32 l/min;a;;;
2-1;Bij kamer: 49 a.w.;Saval;BSH 20 m;Water;1997;2015;40 l/min;a;;;
2-1a;Werkplaats TD;BCO;EFS 6;Schuim;2015;;;a;;;
2-2;Bij kamer : 33 a.w.;Saval;BSH 20 m;Water;1997;2015;36 l/min;a;;;
2-3;Bij kamer: 39 a.w.;Saval;BSH 20 m;Water;1997;2015;36 l/min;a;;;
2-4;Bij kamer: 17 zorg;Saval;BSH 20 m;Water;;2015;32 l/min;a;;;
2-5;Bij kamer: 24 zorg;Saval;BSH 20 m;Water;;2015;32 l/min;a;;;
3-1;Bij kamer: 25 zorg;Saval;BSH 20 m;Water;;2015;32 l/min;a;;;
3-2;Bij berging: 3e verdieping;Saval;BSH 20 m;Water;;2015;32 l/min;a;;;
3-2a;Ketelhuis zolder ;Uro Flame;K5J;CO2;2015;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
