;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;ZC Maasland;;Datum:;11-05-2015;;;;;Blusdekens;;
Adres:;St. Sebastianusstraat 5, Herpen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-1;Bij kamer nr. 10;Saval;B.S.H. 25m;Water;1995;2015;32 l/min;a;;;
0-1a;Bij kapsalon;BCO;EFS 6;Schuim;2013;;;a;;;
0-2;Bij kamer nr. 2;Saval;B.S.H. 25m;Water;1995;2015;32 l/min;a;;;
0-3;Bij trap b.g. ;Saval;B.S.H. 20m;Water;1995;2015;32 l/min;a;;;
0-4;Bij kamer nr. 14;Saval;B.S.H. 25m;Water;1995;2015;30 l/min;a;;;
0-4a;Bij winkel b.g.;BCO;EFS 6;Schuim;2013;;;a;;;
0-5;Bij kamer nr. 20;Saval;B.S.H. 25m;Water;1995;2015;32 l/min;a;;;
0-5a;In keuken;BCO;EC 5;CO2;2013;;;a;;;
0-6;In d'n Herd;Saval;B.S.H. 25m;Water;1995;2015;32 l/min;a;;;
1-1;Bij kamer nr. 32;Saval;B.S.H. 25m;Water;1995;2015;32 l/min;a;;;
1-1a;Bij kamer nr. 50;BCO;EFS 6;Schuim;2013;;;a;;;
1-2;Bij kamer nr. 26;Saval;B.S.H. 25m;Water;1995;2015;32 l/min;a;;;
1-3;Bij zusterspost 1e verdieping;Saval;B.S.H. 20m;Water;1995;2015;34 l/min;a;;;
1-4;Bij kamer nr. 36;Saval;B.S.H. 25m;Water;1995;2015;32 l/min;a;;;
1-4a;Bij kamer nr. 52;Saval;B6P-SC;Schuim;2012;;;a;;;
1-5;Bij kamer nr. 42;Saval;B.S.H. 25m;Water;1995;2015;34 l/min;a;;;
Z-1;Op zolder 2;Ansul;B.S.H. 20m;Water;1995;2015;36 l/min;a;;;
Z-1a;Op zolder 2 TD;Saval;B6P-SC;Schuim;2012;;;a;;;
Z-1b;Op zolder ketelhuis;BCO;EC5;CO2;2013;;;a;;;
Z-2;Op zolder 1;Ansul;B.S.H. 20m;Water;1995;2015;34 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;Geen vetblusser in de keuken! (20l vet);;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
