;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;John Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Nieuwe Hoeven;;Datum:;Week 16 2015;;;;;Blusdekens;;
Adres:;Udensedreef 5, Schaijk;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;VB-103;Ajax;BSH;Water;onbekend;2015;32 l/min;a;;;
2;VB-102;BCO;EFS6;Schuim;2013;;;a;;;
3;VB-105;Ajax;BSH;Water;onbekend;2015;34 l/min;a;;;
4;VB-104;BCO;EC5;CO2;2012;;;a;;;
5;BZ-gang;Ajax;BSH;Water;onbekend;2015;36 l/min;a;;;
6;Keuken restaurant;BCO;EWCS6;Wet chemical;2014;;;a;;;
7;FD-306;Saval;AK 2;CO2;2008;;;a;;;
7a;FD320;BCO;EFS6;Schuim;2013;;;a;;;
8;FD-306;Moyene R;MC-5A;CO2;01-2007;;;a;;;
9;FD-306;Saval;AK5;CO2;05-2009;;;a;;;
10;FD-310;Saval;AK5;CO2;08-2011;;;a;;;
11;FD-322;Saval;BSH;Water;2002;2015;44 l/min;a;;;
12;FD-322;BCO;EC5;CO2;2013;;;a;;;
14;FD-301;Gloria;BSH;Water;onbekend;2015;44 l/min;a;;;
15;FD-342;BCO;EFS6;Schuim AFFF;2013;;;a;;;
16;FD-337;Saval;BSH;Water;onbekend;2015;36 l/min;a;;;
17;FD-337;BCO;EC5;CO2;2012;;;a;Nieuwe slang;;
18;FD-372 gang;Saval;BSH;Water;2000;2015;32 l/min;a;;;
19;L1-gang;Ajax;BSH;Water;onbekend;2015;34 l/min;a;;;
20;L1-30;BCO;EFS6;Schuim AFFF;2013;;;a;;;
21;L2-21;Ajax;BSH;Water;onbekend;2015;36 l/min;a;;;
22;L2-21;Ajax;BSH;Water;1998;2015;40 l/min;a;;;
23;L2-20;Saval;B.6.P;Schuim  ;03-2009;;;a;;;
24;ML-gang;Ajax;BSH 25m;Water;onbekend;2015;40 l/min;a;;;
25;ML-31;BCO;EFS6;Schuim AFFF;2013;;;a;;;
26;B2-24;Ajax;BSH;Water;onbekend;2015;36 l/min;a;;;
27;B2-43;Saval;B.6.P;Schuim;2009;;;a;;;
28;B1-gang;Ajax;BSH;Water;onbekend;2015;30 l/min;a;;;
29;B1-24;BCO;EFS6;Schuim AFFF;2013;;;a;;;
30;MM-gang;Ajax;BSH;Water;onbekend;2015;32 l/min;a;;;
31;MM-gang;Ajax;BSH;Water;onbekend;2015;30 l/min;a;;;
32;E1-39;Ajax;BSH;Water;onbekend;2015;32 l/min;a;;;
33;E1-23;BCO;EFS6;Schuim AFFF;2013;;;a;;;
34;E2-21;Ajax;BSH;Water;onbekend;2015;36 l/min;a;;;
35;E2-21;Ajax;BSH;Water;1998;2015;34 l/min;a;;;
36;E2-20;Saval;B.6.P;Schuim;2009;;;a;;;
37;MR-gang;Ajax;BSH;Water;onbekend;2015;32 l/min;a;;;
38;Tuindienst;BCO;EFS6;Schuim;2015;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
