;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;BrabantWonen;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Verdihuis;;Datum:;Mei 2015;;;;;Blusdekens;;
Adres:;Oss;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
0-01;Ingang, in gang;Ajax;B.S.H. 20m;Water;1998;2015;52 l/min;a;;;
0-02;Sociaal Pension;Ajax;B.S.H. 20m;Water;1998;2015;48 l/min;a;;;
0-03;Sociaal Pension;Ajax;B.S.H. 20m;Water;1998;2015;36 l/min;a;;;
1;In hal receptie;Saval;B6P;Bio schuim;2001;;;a;;;
2;Bij kantoor crisisopvang;Saval;B6P;Bio schuim;2001;;;a;;;
0-04;Gang kantoren;Ajax;B.S.H. 20m;Water;1998;2015;52 l/min;a;;;
3;Gang in crisisopvang;Saval;B6P- sc;Bio schuim;2010;;;a;;;
5;Bij crisisopvang 3;Saval;B6P- sc;Bio schuim;2010;;;a;;;
0-05;In trajecthuis B.G.;Ajax;B.S.H. 20m;Water;2003;2015;40 l/min;a;;;
6;In trajecthuis B.G.;BCO;EFS 6;Schuim;2015;;;a;;;
1-06;In trajecthuis 1e verdieping;Ajax;B.S.H. 20m;Water;2003;2015;40 l/min;a;;;
7;In trajecthuis 1e verdieping;Saval;B6P- sc;Schuim;2010;;;a;;;
8;In trajecthuis 2e verdieping;Saval;B6P- sc;Schuim;2010;;;a;;;
2-02;In trajecthuis 2e verdieping;Ajax;B.S.H. 20m;Water;2003;2015;36 l/min;a;;;
9;Werkplaats TD;Kling;S6 LJ;Schuim;2009;;;a;;;
1-01;Bij kantoren 1e verdieping;Ajax;B.S.H. 20m;Water;1998;2015;44 l/min;a;;;
11;Bij kantoor 1.14;Saval;B6P;Schuim;2001;;;a;;;
1-02;Bij kamer 1.7;Ajax;B.S.H. 20m;Water;1998;2015;40 l/min;a;;;
1-03;In kantoor 1.27a;Ajax;B.S.H. 20m;Water;1998;2015;36 l/min;a;;;
12;Bij kantoor 1.27;Saval;B6P;Schuim;2001;;;a;;;
1-04;Bij kamer 1.44;Ajax;B.S.H. 20m;Water;1998;2015;36 l/min;a;;;
1-05;Bij kamer 1.50;Ajax;B.S.H. 20m;Water;1998;2015;38 l/min;a;;;
2-01;Bij kamer 2;Ajax;B.S.H. 25m;Water;1998;2015;36 l/min;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
