;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Casade;;Naam monteur:;J. Nederkoorn;;;;;Slangenhaspels-water;;
Locatie:;Kantoor;;Datum:;Week 35, 2015;;;;;Blusdekens;;
Adres:;Vredesplein 5, Waalwijk;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Reden afkeur;;
H1;Hal begane grond;Saval;B.S.H. 20m;Water;2002;2011;30 l/min;a;;;
H2;Gang bij kantine;Saval;B.S.H. 20m;Water;2002;2011;28 l/min;a;;;
H3;Vergaderruimte;Saval;B.S.H. 20m;Water;2002;2011;26 l/min;a;;;
B4;Vergaderruimte;Lubo-prevent;K5J;CO2;2006;;;a;;;
H5;Kantoor 1e verdieping;Saval;B.S.H. 20m;Water;2002;2011;28 l/min;a;;;
B6;Kantoor 1e verdieping;BCO;EFS6;Schuim;2014;;;a;;;
B7;Service bus;Ajax;GD2/G;Poeder;2009;;;a;;;
B8;Server ruimte;Jockel;K5J;CO2;2006;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;1x Blusdeken;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
