;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Het erf: nr. 1303300;;Datum:;Week 7 2015;;;;;Blusdekens;;
Adres:;Heikant 1 t/m 25, Rosmalen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Hoofdingang;Ansul;BSH 20m;Water;1987;2014;30 l/min;a;;;
2;Hoofdingang;Smeba;MF-60;Schuim;2014;;;a;;;
3;Naast podium;Ansul;BSH 20m;Water;1987;2014;30 l/min;a;;;
4;Naast podium;Smeba;MF-60;Schuim;2014;2014;;a;;;
5;Gang bij deur zwembad;Smeba;BSH 20m;Water;2011;2014;32 l/min;a;;;
6;Gang bij ;Smeba;MF-60;Schuim;2014;;;a;;;
7;CV ruimte via zwembad;Smeba;MF-60;Schuim;2014;;;a;;;
8;Heikant 19 keuken;Smeba;MF-60;Schuim;2013;;;a;;;
9;Heikant 19 keuken;Ansul;BSH 20m;Water;1987;2014;30 l/min;a;;;
10;Heikant 21 keuken;Smeba;MF-60;Schuim;2014;;;a;;;
11;Heikant 21 gang;Ansul;BSH 20m;Water;1987;2014;30 l/min;a;;;
12;Heikant 23 keuken;Smeba;MF-60;Schuim;2013;;;a;;;
13;Heikant 23 gang;Ansul;BSH 20m;Water;1987;2014;32 l/min;a;;;
14;Ketelhok bij nr. 23;Smeba;MF-60;Schuim;;2013;;a;;;
15;Ketelhok bij nr. 11;Smeba;MF-60;Schuim;;2014;;a;;;
16;Heikant 25 gang;Ansul;BSH 20m;Water;1987;2014;30 l/min;a;;;
17;Heikant 25 keuken;Smeba;MF-60;Schuim;2014;;;a;;;
18;Heikant 1 gang;Ansul;BSH 20m;Water;1987;2014;28 l/min;a;;;
19;Heikant 1 keuken;Smeba;MF-60;Schuim;2013;;;a;;;
20;Heikant 3 gang;Ansul;BSH 20m;Water;1987;2014;28 l/min;a;;;
21;Heikant 3 keuken;Smeba;MF-60;Schuim;2014;;;a;;;
22;Heikant 7 gang;Ansul;BSH 20m;Water;1987;2014;28 l/min;a;;;
23;Heikant 7 keuken;Smeba;MF-60;Schuim;2013;;;a;;;
24;Heikant 9 gang;Ansul;BSH 20m;Water;1987;2014;30 l/min;a;;;
25;Heikant 9 keuken;Smeba;MF-60;Schuim;2013;;;a;;;
26;Heikant 5 gang;Ansul;BSH 20m;Water;1987;2014;28 l/min;a;;;
27;Heikant 5 keuken;Smeba;MF-60;Schuim;2014;;;a;;;
28;Heikant 11 gang;Ansul;BSH 20m;Water;1989;2014;28 l/min;a;;;
29;Heikant 11 keuken;Smeba;MF-60;Schuim;2013;;;a;;;
30;Heikant 13 gang;Ansul;BSH 20m;Water;1987;2014;28 l/min;a;;;
31;Heikant 13 keuken;Smeba;MF-60;Schuim;2013;;;a;;;
32;Heikant 15 gang;Ansul;BSH 20m;Water;1987;2014;26 l/min;a;;;
33;Heikant 15 keuken;Smeba;MF-60;Schuim;2013;;;a;;;
34;Heikant 17 kantoor;Smeba;MF-60;Schuim;2014;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
