;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Nr. 1631700;;Datum:;Week 6 2015;;;;;Blusdekens;;
Adres:;Koningsvaren 4-6, Rosmalen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Ketelhok;Ajax;ES6N;Schuim;2013;;;a;;;
2;Koningsvaren 4;Ajax;BSH 20m;Water;2013;;27 l/min;a;;;
3;Koningsvaren 4;;Blusdeken;;;;;a;;;
4;Koningsvaren 6;Ajax;BSH 20m;Water;2013;;28 l/min;a;;;
5;Koningsvaren 6;;Blusdeken;;;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
