;;;;;;;;;FOR 019: BCO Onderhoudsrapport;;
;;;;;;;;;Versie 04;;
;;Onderhoudsrapport;;;;;;;;;
;;Bco Brandpreventie;;;;;;;Blusmaterialen:;;
;;Galliershof 22;;;;;;;Schuimblussers;;
;;5349 BV Oss;;;;;;;Poederblussers;;
;;;;;;;;;Koolstofblussers;;
Klant:;Cello;;Naam monteur:;M. Gutte;;;;;Slangenhaspels-water;;
Locatie:;Nr. 1301200 werkplaats;;Datum:;Week 9 2015;;;;;Blusdekens;;
Adres:;Spechtenpad 2, Rosmalen;;;;;;;;;;
Pos.;Locatie;Merk;Type;Blusstof;Fabr. Jr;Laatst afgeperst in:;Debietmeting (l/min);Goed- of afgekeurd;Opmerkingen / Reden afkeur;;
1;Opslag tuindienst;Smeba;MP-6;Poeder;2104;;;a;;;
2;Opslag tuindienst;Smeba;BSH 20m;Water;2007;2014;32 l/min;a;;;
3;Buiten bij opslag;Smeba;MP-6;Poeder;2013;;;a;;;
4;Werkplaats;BCO;EPS6;Poeder;2015;;;a;Nieuw;;
5;Transport;BCO;EPS6;Poeder;2015;;;a;Nieuw;;
6;Bus 3;Smeba;MP-2;Poeder;2010;;;a;;;
7;Bus 4;Smeba;MP-2;Poeder;2012;;;a;;;
8;Bus 2;Smeba;MP-2;Poeder;2008;;;a;;;
9;Bus 1;Elro;SB2NL;Schuim;2013;;;a;;;
  Ev. Opmerkingen:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
